country,field,year,num_patent_granted,complete
Brazil,Telecommunications,2022,0,False
Serbia,Telecommunications,2020,0,False
European Patent Organization,Telecommunications,2016,18,True
Japan,Telecommunications,2021,317,False
Australia,Transportation,2021,38,False
United Kingdom,Transportation,2020,22,False
South Africa,Transportation,2019,0,True
Romania,Transportation,2019,0,True
European Patent Organization,Transportation,2019,58,True
South Africa,Agriculture,2024,0,False
Lithuania,Agriculture,2017,0,True
European Patent Organization,Agriculture,2017,9,True
Greece,Agriculture,2018,0,True
Germany,Agriculture,2022,7,False
Czechia,Agriculture,2023,0,False
United States,Agriculture,2017,100,True
Luxembourg,Agriculture,2016,0,True
Poland,Agriculture,2018,2,True
European Patent Organization,All,2021,651,False
India,All,2017,199,True
Greece,All,2018,5,True
Greece,All,2022,13,False
Australia,All,2017,254,True
China (mainland),All,2016,4742,True
United States,All,2018,11675,True
United States,All,2024,146,False
France,All,2019,182,True
Spain,All,2019,101,True
Lithuania,Banking and Finance,2017,1,True
United States,Banking and Finance,2017,415,True
South Africa,Banking and Finance,2023,0,False
Canada,Banking and Finance,2021,17,False
Luxembourg,Banking and Finance,2019,0,True
Bulgaria,Banking and Finance,2020,0,False
European Patent Organization,Banking and Finance,2020,5,False
Morocco,Banking and Finance,2017,0,True
Israel,Banking and Finance,2020,0,False
International Bureau of WIPO,Banking and Finance,2018,0,True
United States,Business,2020,1713,False
Singapore,Business,2017,16,True
Singapore,Business,2019,17,True
South Korea,Business,2023,276,False
Australia,Business,2023,3,False
Denmark,Business,2018,2,True
Sweden,Business,2023,2,False
Philippines,Business,2018,1,True
Ukraine,Business,2021,0,False
Netherlands,Energy Management,2021,2,False
Philippines,Energy Management,2018,0,True
Russia,Energy Management,2018,1,True
Switzerland,Energy Management,2018,0,True
Mexico,Energy Management,2021,1,False
Israel,Energy Management,2022,0,False
South Africa,Energy Management,2023,0,False
Canada,Energy Management,2021,10,False
New Zealand,Energy Management,2022,0,False
France,Industry and Manufacturing,2021,3,False
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2018,2,True
Finland,Industry and Manufacturing,2020,1,False
Austria,Industry and Manufacturing,2022,0,False
Brazil,Industry and Manufacturing,2020,15,False
Poland,Life Sciences,2022,1,False
Philippines,Life Sciences,2017,0,True
United States,Life Sciences,2024,14,False
Turkey,Life Sciences,2021,0,False
Greece,Life Sciences,2016,0,True
Russia,Life Sciences,2020,22,False
Australia,Life Sciences,2021,283,False
United Kingdom,Life Sciences,2016,17,True
World Intellectual Property Organization (WIPO),Life Sciences,2019,18,True
Saudi Arabia,Personal Devices and Computing,2021,0,False
Lithuania,Personal Devices and Computing,2020,1,False
Philippines,Personal Devices and Computing,2021,14,False
Switzerland,Personal Devices and Computing,2018,1,True
South Korea,Personal Devices and Computing,2016,375,True
Turkey,Personal Devices and Computing,2021,1,False
France,Personal Devices and Computing,2018,69,True
Netherlands,Personal Devices and Computing,2018,3,True
China (mainland),Personal Devices and Computing,2021,31015,False
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2022,3,False
Luxembourg,Physical Sciences and Engineering,2021,2,False
Italy,Physical Sciences and Engineering,2023,0,False
Australia,Physical Sciences and Engineering,2018,24,True
Poland,Physical Sciences and Engineering,2022,1,False
Eurasian Patent Organization,Physical Sciences and Engineering,2018,2,True
Morocco,Physical Sciences and Engineering,2016,0,True
China (mainland),Physical Sciences and Engineering,2024,2004,False
Philippines,Security,2022,0,False
Norway,Security,2016,0,True
Norway,Security,2023,0,False
Malaysia,Security,2019,1,True
Morocco,Security,2018,0,True
Ukraine,Security,2023,0,False
Czechia,Security,2020,0,False
France,Security,2017,4,True
World Intellectual Property Organization (WIPO),Security,2023,1,False
Mexico,Security,2022,0,False
Russia,Telecommunications,2021,5,False
India,Telecommunications,2018,30,True
Morocco,Telecommunications,2018,2,True
Poland,Telecommunications,2021,1,False
Belgium,Telecommunications,2023,1,False
Norway,Telecommunications,2017,0,True
Turkey,Telecommunications,2019,2,True
United States,Transportation,2022,319,False
Lithuania,Transportation,2019,1,True
Jordan,Transportation,2021,0,False
Norway,Transportation,2020,1,False
World Intellectual Property Organization (WIPO),Transportation,2023,1,False
Austria,Transportation,2021,2,False
Australia,Agriculture,2024,0,False
European Patent Organization,Agriculture,2021,8,False
International Bureau of WIPO,Agriculture,2017,0,True
Ukraine,Agriculture,2023,0,False
Japan,Agriculture,2019,37,True
Luxembourg,All,2019,10,True
Israel,All,2017,14,True
Bulgaria,All,2018,4,True
Philippines,All,2021,22,False
United States,All,2023,1475,False
Austria,All,2018,10,True
Finland,All,2021,19,False
Brazil,All,2021,45,False
Brazil,All,2022,2,False
South Africa,Banking and Finance,2024,0,False
India,Banking and Finance,2019,0,True
Indonesia,Banking and Finance,2016,1,True
China (mainland),Banking and Finance,2025,17,False
Germany,Banking and Finance,2022,5,False
Italy,Banking and Finance,2017,0,True
Poland,Banking and Finance,2016,0,True
Eurasian Patent Organization,Banking and Finance,2018,0,True
Russia,Banking and Finance,2018,5,True
Philippines,Banking and Finance,2016,0,True
Italy,Business,2018,2,True
Slovakia,Business,2021,0,False
United Kingdom,Business,2023,1,False
Peru,Business,2021,0,False
Russia,Business,2016,10,True
India,Business,2018,30,True
Belgium,Business,2019,0,True
Philippines,Energy Management,2020,0,False
Austria,Energy Management,2017,4,True
Ireland,Energy Management,2023,0,False
Israel,Energy Management,2021,0,False
Singapore,Energy Management,2017,0,True
Bulgaria,Energy Management,2020,0,False
New Zealand,Industry and Manufacturing,2016,0,True
Hungary,Industry and Manufacturing,2021,2,False
Japan,Industry and Manufacturing,2016,97,True
India,Industry and Manufacturing,2016,2,True
India,Industry and Manufacturing,2021,0,False
Italy,Industry and Manufacturing,2016,2,True
Taiwan,Industry and Manufacturing,2023,8,False
Bulgaria,Industry and Manufacturing,2024,2,False
Czechia,Industry and Manufacturing,2020,0,False
Switzerland,Industry and Manufacturing,2021,1,False
Russia,Industry and Manufacturing,2017,5,True
Lithuania,Life Sciences,2020,1,False
Taiwan,Life Sciences,2019,48,True
Netherlands,Life Sciences,2020,4,False
Ukraine,Life Sciences,2019,0,True
Ireland,Life Sciences,2022,0,False
Ireland,Life Sciences,2023,0,False
Iran,Life Sciences,2018,0,True
Slovenia,Life Sciences,2022,0,False
Portugal,Life Sciences,2019,1,True
Singapore,Life Sciences,2018,43,True
San Marino,Personal Devices and Computing,2020,0,False
World Intellectual Property Organization (WIPO),Personal Devices and Computing,2024,1,False
Norway,Personal Devices and Computing,2017,0,True
Israel,Personal Devices and Computing,2020,10,False
Brazil,Personal Devices and Computing,2018,57,True
Japan,Personal Devices and Computing,2024,15,False
Germany,Personal Devices and Computing,2018,166,True
South Korea,Personal Devices and Computing,2022,1151,False
Netherlands,Personal Devices and Computing,2016,2,True
Australia,Personal Devices and Computing,2024,0,False
Italy,Physical Sciences and Engineering,2016,1,True
Romania,Physical Sciences and Engineering,2021,0,False
Peru,Physical Sciences and Engineering,2016,1,True
Australia,Physical Sciences and Engineering,2019,41,True
Australia,Physical Sciences and Engineering,2021,66,False
Belgium,Physical Sciences and Engineering,2021,1,False
Poland,Physical Sciences and Engineering,2018,0,True
Israel,Physical Sciences and Engineering,2017,0,True
Israel,Physical Sciences and Engineering,2018,0,True
Norway,Security,2019,0,True
New Zealand,Security,2019,2,True
Netherlands,Security,2022,0,False
European Patent Organization,Security,2019,32,True
Czechia,Security,2017,0,True
San Marino,Security,2018,0,True
Croatia,Security,2022,0,False
Saudi Arabia,Security,2022,0,False
United Kingdom,Security,2024,2,False
Sweden,Telecommunications,2017,4,True
Romania,Telecommunications,2022,0,False
Luxembourg,Telecommunications,2022,8,False
India,Telecommunications,2017,39,True
Philippines,Telecommunications,2016,0,True
Lithuania,Telecommunications,2017,0,True
Turkey,Telecommunications,2021,1,False
Germany,Telecommunications,2023,21,False
Hungary,Transportation,2022,0,False
Italy,Transportation,2017,5,True
United Kingdom,Transportation,2018,35,True
South Africa,Transportation,2023,0,False
Romania,Transportation,2016,0,True
Czechia,Transportation,2017,0,True
Israel,Agriculture,2019,0,True
Finland,Agriculture,2016,0,True
Russia,Agriculture,2018,0,True
South Korea,Agriculture,2021,119,False
United Kingdom,Agriculture,2020,14,False
United Kingdom,Agriculture,2022,1,False
United States,Agriculture,2019,124,True
Peru,All,2016,2,True
Lithuania,All,2020,4,False
Ukraine,All,2024,6,False
France,All,2020,224,False
Switzerland,All,2016,4,True
Brazil,All,2016,67,True
Hungary,Banking and Finance,2023,0,False
Australia,Banking and Finance,2017,17,True
Australia,Banking and Finance,2019,40,True
France,Banking and Finance,2022,2,False
Norway,Banking and Finance,2020,0,False
New Zealand,Banking and Finance,2018,0,True
South Korea,Business,2016,109,True
Argentina,Business,2020,2,False
Denmark,Business,2021,1,False
Mexico,Business,2016,11,True
Switzerland,Business,2019,0,True
Russia,Business,2020,10,False
Norway,Business,2023,0,False
Philippines,Business,2023,0,False
Turkey,Business,2017,0,True
Hungary,Business,2017,2,True
Argentina,Energy Management,2022,0,False
South Korea,Energy Management,2020,320,False
Morocco,Energy Management,2020,0,False
Italy,Energy Management,2019,5,True
United States,Energy Management,2017,158,True
New Zealand,Energy Management,2017,1,True
Eurasian Patent Organization,Energy Management,2018,0,True
Saudi Arabia,Energy Management,2021,0,False
Germany,Industry and Manufacturing,2016,13,True
Germany,Industry and Manufacturing,2019,47,True
Tunisia,Industry and Manufacturing,2021,0,False
China (mainland),Industry and Manufacturing,2023,3682,False
Spain,Industry and Manufacturing,2021,11,False
Luxembourg,Industry and Manufacturing,2021,3,False
Morocco,Industry and Manufacturing,2021,1,False
Turkey,Industry and Manufacturing,2016,0,True
Turkey,Industry and Manufacturing,2017,1,True
Iran,Industry and Manufacturing,2018,0,True
International Bureau of WIPO,Industry and Manufacturing,2017,1,True
Brazil,Industry and Manufacturing,2022,0,False
South Africa,Industry and Manufacturing,2023,0,False
Israel,Industry and Manufacturing,2017,3,True
Poland,Life Sciences,2020,6,False
Belgium,Life Sciences,2018,1,True
India,Life Sciences,2018,21,True
Sweden,Life Sciences,2017,0,True
France,Life Sciences,2017,18,True
Slovenia,Life Sciences,2016,0,True
Australia,Life Sciences,2023,9,False
Austria,Life Sciences,2017,3,True
Serbia,Life Sciences,2020,1,False
Portugal,Life Sciences,2022,2,False
Singapore,Life Sciences,2019,36,True
Singapore,Personal Devices and Computing,2018,70,True
Eurasian Patent Organization,Personal Devices and Computing,2018,4,True
Greece,Personal Devices and Computing,2021,2,False
United States,Personal Devices and Computing,2021,4723,False
Peru,Personal Devices and Computing,2021,0,False
Italy,Personal Devices and Computing,2021,5,False
Italy,Personal Devices and Computing,2022,3,False
Japan,Personal Devices and Computing,2018,1185,True
New Zealand,Personal Devices and Computing,2017,8,True
New Zealand,Personal Devices and Computing,2022,0,False
Luxembourg,Physical Sciences and Engineering,2020,2,False
Lithuania,Physical Sciences and Engineering,2020,1,False
Romania,Physical Sciences and Engineering,2019,0,True
Norway,Physical Sciences and Engineering,2020,1,False
United Kingdom,Physical Sciences and Engineering,2018,29,True
Belgium,Physical Sciences and Engineering,2020,2,False
Israel,Physical Sciences and Engineering,2023,1,False
Singapore,Physical Sciences and Engineering,2021,0,False
Bulgaria,Physical Sciences and Engineering,2017,0,True
Taiwan,Security,2016,2,True
Italy,Security,2017,0,True
Italy,Security,2018,0,True
Finland,Security,2019,2,True
Netherlands,Telecommunications,2024,2,False
World Intellectual Property Organization (WIPO),Telecommunications,2020,32,False
Saudi Arabia,Telecommunications,2023,0,False
Singapore,Telecommunications,2021,1,False
China (mainland),Telecommunications,2024,3723,False
China (mainland),Telecommunications,2025,90,False
Japan,Telecommunications,2023,23,False
Mexico,Telecommunications,2018,9,True
Germany,Telecommunications,2021,52,False
Colombia,Transportation,2022,0,False
Peru,Transportation,2018,0,True
Brazil,Transportation,2017,16,True
Czechia,Transportation,2020,0,False
Russia,Transportation,2016,14,True
Russia,Transportation,2021,5,False
Portugal,Agriculture,2016,0,True
Denmark,Agriculture,2016,1,True
Hungary,Agriculture,2018,1,True
Hungary,Agriculture,2023,0,False
Slovenia,Agriculture,2022,0,False
Philippines,Agriculture,2022,0,False
Germany,Agriculture,2021,7,False
South Korea,Agriculture,2022,112,False
France,Agriculture,2016,0,True
Italy,Agriculture,2021,2,False
New Zealand,Agriculture,2019,1,True
Argentina,Agriculture,2019,3,True
Poland,Agriculture,2016,0,True
Poland,Agriculture,2021,1,False
Peru,All,2023,1,False
Mexico,All,2019,81,True
Canada,All,2020,501,False
Lithuania,All,2022,1,False
India,All,2016,111,True
Costa Rica,All,2020,1,False
Latvia,All,2020,1,False
Denmark,All,2022,5,False
Italy,All,2017,18,True
Ukraine,Banking and Finance,2024,0,False
Morocco,Banking and Finance,2016,0,True
Slovenia,Business,2023,0,False
Denmark,Business,2017,0,True
Latvia,Business,2020,0,False
Belgium,Business,2020,0,False
Belgium,Business,2022,0,False
Croatia,Business,2018,0,True
United Kingdom,Energy Management,2019,12,True
Ireland,Energy Management,2016,0,True
Australia,Energy Management,2017,8,True
Morocco,Energy Management,2016,0,True
Hungary,Energy Management,2022,0,False
Hungary,Industry and Manufacturing,2016,3,True
Hungary,Industry and Manufacturing,2022,2,False
World Intellectual Property Organization (WIPO),Industry and Manufacturing,2020,1,False
Peru,Industry and Manufacturing,2016,0,True
Brazil,Industry and Manufacturing,2016,4,True
United States,Industry and Manufacturing,2017,305,True
Russia,Industry and Manufacturing,2016,2,True
Taiwan,Life Sciences,2021,58,False
Indonesia,Life Sciences,2016,1,True
India,Life Sciences,2017,28,True
France,Life Sciences,2018,24,True
Norway,Life Sciences,2019,1,True
Finland,Life Sciences,2021,2,False
Canada,Personal Devices and Computing,2020,206,False
India,Personal Devices and Computing,2019,6,True
Peru,Personal Devices and Computing,2020,3,False
Belgium,Personal Devices and Computing,2019,0,True
Luxembourg,Personal Devices and Computing,2018,4,True
Czechia,Personal Devices and Computing,2022,0,False
Luxembourg,Physical Sciences and Engineering,2025,0,False
Romania,Physical Sciences and Engineering,2022,1,False
Peru,Physical Sciences and Engineering,2019,1,True
Peru,Physical Sciences and Engineering,2022,0,False
Australia,Physical Sciences and Engineering,2016,20,True
Japan,Physical Sciences and Engineering,2020,134,False
Malaysia,Physical Sciences and Engineering,2018,1,True
Czechia,Physical Sciences and Engineering,2023,0,False
Austria,Physical Sciences and Engineering,2021,1,False
Czechia,Security,2019,0,True
Czechia,Security,2022,0,False
Poland,Security,2021,2,False
World Intellectual Property Organization (WIPO),Security,2018,1,True
Ireland,Security,2016,0,True
Israel,Security,2018,0,True
Brazil,Security,2021,3,False
World Intellectual Property Organization (WIPO),Telecommunications,2017,3,True
Chile,Telecommunications,2018,0,True
Israel,Telecommunications,2019,4,True
Romania,Telecommunications,2017,1,True
Peru,Telecommunications,2017,0,True
Philippines,Telecommunications,2020,2,False
Greece,Telecommunications,2021,2,False
Turkey,Telecommunications,2018,2,True
Finland,Telecommunications,2023,4,False
United States,Transportation,2020,1034,False
Finland,Transportation,2022,0,False
Canada,Transportation,2017,48,True
Greece,Transportation,2022,1,False
South Africa,Transportation,2024,0,False
Morocco,Transportation,2017,1,True
Romania,Transportation,2023,0,False
Brazil,Transportation,2016,22,True
Brazil,Transportation,2019,11,True
Czechia,Transportation,2021,0,False
South Korea,Transportation,2023,71,False
New Zealand,Transportation,2016,1,True
Israel,Agriculture,2021,0,False
Slovenia,Agriculture,2019,0,True
Philippines,Agriculture,2023,0,False
Switzerland,Agriculture,2021,0,False
European Patent Organization,Agriculture,2018,4,True
Jordan,Agriculture,2021,0,False
Greece,Agriculture,2019,0,True
Colombia,Agriculture,2019,0,True
Norway,Agriculture,2016,0,True
Slovakia,Agriculture,2021,0,False
Peru,All,2019,2,True
International Bureau of WIPO,All,2018,17,True
New Zealand,All,2019,12,True
Israel,All,2020,14,False
Jordan,All,2021,2,False
Slovenia,All,2022,1,False
Germany,All,2023,164,False
France,All,2017,82,True
Spain,All,2017,95,True
Belgium,All,2017,2,True
Taiwan,Banking and Finance,2021,2,False
Belgium,Banking and Finance,2022,0,False
Australia,Banking and Finance,2021,39,False
Argentina,Banking and Finance,2018,0,True
Spain,Banking and Finance,2022,0,False
Eurasian Patent Organization,Banking and Finance,2017,0,True
Philippines,Banking and Finance,2022,0,False
Sweden,Banking and Finance,2018,1,True
Serbia,Banking and Finance,2017,0,True
Luxembourg,Business,2024,5,False
Bulgaria,Business,2023,1,False
Austria,Business,2017,1,True
International Bureau of WIPO,Business,2017,2,True
China (mainland),Business,2024,5352,False
Australia,Business,2016,46,True
Finland,Business,2019,4,True
Colombia,Business,2019,0,True
Sweden,Business,2022,0,False
Eurasian Patent Organization,Business,2017,0,True
Croatia,Business,2022,0,False
Romania,Business,2022,0,False
Ukraine,Business,2022,0,False
South Africa,Business,2018,1,True
South Africa,Business,2019,0,True
China (mainland),Energy Management,2019,1068,True
Spain,Energy Management,2016,3,True
Spain,Energy Management,2018,4,True
Peru,Energy Management,2022,0,False
Japan,Energy Management,2019,108,True
Germany,Energy Management,2016,12,True
Italy,Energy Management,2018,1,True
United States,Energy Management,2021,178,False
Luxembourg,Energy Management,2017,0,True
Luxembourg,Energy Management,2024,4,False
Taiwan,Energy Management,2022,5,False
India,Energy Management,2019,0,True
Belgium,Energy Management,2020,1,False
Netherlands,Industry and Manufacturing,2020,2,False
Jordan,Industry and Manufacturing,2021,1,False
United Kingdom,Industry and Manufacturing,2017,12,True
Norway,Industry and Manufacturing,2021,1,False
Malaysia,Industry and Manufacturing,2022,0,False
Czechia,Industry and Manufacturing,2023,1,False
Saudi Arabia,Life Sciences,2022,1,False
Austria,Life Sciences,2016,3,True
Uruguay,Life Sciences,2017,0,True
Malaysia,Life Sciences,2022,0,False
Austria,Personal Devices and Computing,2017,1,True
Austria,Personal Devices and Computing,2022,1,False
Portugal,Personal Devices and Computing,2022,0,False
Luxembourg,Personal Devices and Computing,2024,22,False
Romania,Personal Devices and Computing,2017,0,True
Brazil,Personal Devices and Computing,2017,25,True
Mexico,Personal Devices and Computing,2021,7,False
Italy,Physical Sciences and Engineering,2022,0,False
Serbia,Physical Sciences and Engineering,2018,0,True
New Zealand,Physical Sciences and Engineering,2016,0,True
Germany,Physical Sciences and Engineering,2020,15,False
Poland,Physical Sciences and Engineering,2016,1,True
South Korea,Physical Sciences and Engineering,2022,252,False
China (mainland),Physical Sciences and Engineering,2022,1551,False
Greece,Security,2019,0,True
Norway,Security,2022,0,False
Sweden,Security,2018,1,True
Costa Rica,Security,2020,0,False
World Intellectual Property Organization (WIPO),Security,2024,0,False
Belgium,Security,2019,0,True
Germany,Security,2017,12,True
Australia,Telecommunications,2021,166,False
Sweden,Telecommunications,2018,5,True
China (mainland),Telecommunications,2022,4131,False
Luxembourg,Telecommunications,2017,0,True
Malaysia,Telecommunications,2022,0,False
Peru,Telecommunications,2018,0,True
Argentina,Telecommunications,2019,1,True
Poland,Telecommunications,2022,0,False
Taiwan,Transportation,2018,14,True
Italy,Transportation,2020,4,False
Netherlands,Transportation,2020,1,False
Belgium,Transportation,2020,0,False
Peru,Transportation,2020,0,False
Eurasian Patent Organization,Transportation,2017,0,True
Denmark,Agriculture,2019,0,True
World Intellectual Property Organization (WIPO),Agriculture,2020,1,False
Philippines,Agriculture,2021,0,False
Peru,Agriculture,2018,0,True
European Patent Organization,Agriculture,2016,4,True
Czechia,Agriculture,2019,0,True
Canada,Agriculture,2016,8,True
Malaysia,Agriculture,2020,1,False
Croatia,All,2018,2,True
Netherlands,All,2021,44,False
South Africa,All,2022,71,False
Ukraine,All,2021,8,False
Hungary,All,2023,1,False
Hungary,Banking and Finance,2016,2,True
India,Banking and Finance,2016,1,True
Switzerland,Banking and Finance,2021,0,False
Poland,Banking and Finance,2023,0,False
Brazil,Banking and Finance,2022,0,False
Russia,Banking and Finance,2021,0,False
Philippines,Banking and Finance,2017,0,True
Luxembourg,Business,2021,6,False
Canada,Business,2020,65,False
Malaysia,Business,2019,3,True
Cuba,Business,2020,0,False
Turkey,Business,2019,0,True
Spain,Energy Management,2017,3,True
Spain,Energy Management,2022,2,False
Spain,Energy Management,2023,2,False
Lithuania,Energy Management,2016,0,True
Colombia,Energy Management,2019,0,True
Japan,Energy Management,2020,98,False
Austria,Energy Management,2021,2,False
Romania,Energy Management,2021,0,False
Romania,Energy Management,2023,0,False
Greece,Energy Management,2020,1,False
World Intellectual Property Organization (WIPO),Energy Management,2023,0,False
European Patent Organization,Energy Management,2020,27,False
Greece,Industry and Manufacturing,2020,0,False
Luxembourg,Industry and Manufacturing,2019,0,True
Romania,Industry and Manufacturing,2023,0,False
European Patent Organization,Life Sciences,2023,25,False
New Zealand,Life Sciences,2018,9,True
Japan,Life Sciences,2022,142,False
Italy,Life Sciences,2023,0,False
Bulgaria,Life Sciences,2019,0,True
South Africa,Life Sciences,2021,0,False
Estonia,Life Sciences,2022,0,False
China (mainland),Life Sciences,2019,1728,True
Finland,Life Sciences,2018,7,True
Ireland,Personal Devices and Computing,2022,0,False
Austria,Personal Devices and Computing,2021,5,False
Bulgaria,Personal Devices and Computing,2024,3,False
Philippines,Personal Devices and Computing,2019,5,True
Colombia,Personal Devices and Computing,2019,0,True
Hungary,Personal Devices and Computing,2018,1,True
Slovenia,Personal Devices and Computing,2016,0,True
Taiwan,Personal Devices and Computing,2023,35,False
Romania,Personal Devices and Computing,2018,0,True
European Patent Organization,Personal Devices and Computing,2018,201,True
New Zealand,Personal Devices and Computing,2016,0,True
Ukraine,Physical Sciences and Engineering,2017,0,True
France,Physical Sciences and Engineering,2018,8,True
France,Physical Sciences and Engineering,2023,0,False
Australia,Physical Sciences and Engineering,2020,39,False
Norway,Physical Sciences and Engineering,2021,1,False
Germany,Physical Sciences and Engineering,2024,3,False
Iran,Physical Sciences and Engineering,2018,0,True
Austria,Physical Sciences and Engineering,2019,0,True
Russia,Physical Sciences and Engineering,2017,7,True
Denmark,Physical Sciences and Engineering,2017,0,True
Portugal,Security,2019,0,True
New Zealand,Security,2016,0,True
Lithuania,Security,2017,0,True
Netherlands,Security,2024,0,False
Saudi Arabia,Security,2023,0,False
Taiwan,Security,2020,11,False
Bulgaria,Security,2018,0,True
Bulgaria,Security,2020,0,False
Finland,Security,2017,1,True
World Intellectual Property Organization (WIPO),Telecommunications,2019,31,True
Spain,Telecommunications,2024,0,False
Saudi Arabia,Telecommunications,2021,0,False
Israel,Telecommunications,2016,3,True
Portugal,Telecommunications,2018,2,True
Japan,Telecommunications,2017,290,True
Ireland,Telecommunications,2022,0,False
Bulgaria,Telecommunications,2024,0,False
Taiwan,Telecommunications,2018,30,True
Belgium,Telecommunications,2018,1,True
Norway,Telecommunications,2018,3,True
International Bureau of WIPO,Telecommunications,2018,8,True
Australia,Transportation,2022,6,False
Portugal,Transportation,2019,0,True
San Marino,Transportation,2018,0,True
Peru,Transportation,2021,0,False
India,Transportation,2019,0,True
Austria,Transportation,2017,5,True
Serbia,Transportation,2020,0,False
Hungary,Agriculture,2022,0,False
Morocco,Agriculture,2021,0,False
Romania,Agriculture,2023,0,False
Sweden,Agriculture,2017,2,True
Finland,Agriculture,2022,0,False
France,Agriculture,2023,0,False
Ireland,Agriculture,2023,0,False
Turkey,Agriculture,2021,0,False
Malaysia,All,2022,2,False
European Patent Organization,All,2017,232,True
International Bureau of WIPO,All,2016,6,True
Israel,All,2018,11,True
Australia,All,2019,456,True
United Kingdom,All,2019,302,True
Sri Lanka,All,2016,1,True
South Korea,All,2024,409,False
Finland,All,2017,20,True
Japan,All,2016,1184,True
Japan,All,2017,2074,True
Brazil,All,2020,92,False
World Intellectual Property Organization (WIPO),Banking and Finance,2019,2,True
Belgium,Banking and Finance,2018,0,True
France,Banking and Finance,2023,0,False
Austria,Banking and Finance,2019,0,True
Argentina,Banking and Finance,2017,0,True
Switzerland,Banking and Finance,2019,0,True
Malaysia,Banking and Finance,2018,3,True
Netherlands,Business,2021,4,False
Greece,Business,2016,1,True
Morocco,Business,2016,0,True
Norway,Business,2022,0,False
San Marino,Business,2020,0,False
European Patent Organization,Business,2017,19,True
Croatia,Business,2019,0,True
France,Business,2017,6,True
Hungary,Business,2023,0,False
Russia,Energy Management,2016,1,True
Finland,Energy Management,2022,1,False
Slovenia,Energy Management,2022,0,False
Israel,Energy Management,2018,0,True
Morocco,Energy Management,2021,1,False
Romania,Energy Management,2018,0,True
India,Energy Management,2020,0,False
Belgium,Energy Management,2017,0,True
World Intellectual Property Organization (WIPO),Energy Management,2020,3,False
Greece,Industry and Manufacturing,2022,0,False
Cuba,Industry and Manufacturing,2020,1,False
Norway,Industry and Manufacturing,2018,1,True
Norway,Industry and Manufacturing,2020,1,False
