country,field,year,num_patent_applications,complete
China (mainland),Physical Sciences and Engineering,2016,230,True
Norway,Physical Sciences and Engineering,2017,0,True
Hungary,Physical Sciences and Engineering,2016,2,True
Belgium,Security,2018,0,True
United States,Security,2022,529,False
Luxembourg,Security,2023,7,False
Australia,Security,2019,46,True
Taiwan,Security,2019,7,True
Taiwan,Security,2024,0,False
Czechia,Security,2022,0,False
Romania,Security,2024,0,False
Russia,Security,2018,19,True
Russia,Security,2020,17,True
South Africa,Security,2021,0,True
Eurasian Patent Organization,Security,2017,0,True
Ireland,Telecommunications,2016,0,True
Portugal,Telecommunications,2023,0,False
Switzerland,Telecommunications,2021,1,True
Colombia,Telecommunications,2022,1,False
China (mainland),Telecommunications,2024,10884,False
France,Telecommunications,2019,49,True
Philippines,Telecommunications,2022,0,False
Mexico,Telecommunications,2017,11,True
Mexico,Telecommunications,2019,22,True
World Intellectual Property Organization (WIPO),Transportation,2019,35,True
Peru,Transportation,2023,0,False
Argentina,Transportation,2022,0,False
France,Transportation,2016,17,True
Singapore,Transportation,2020,4,True
India,Transportation,2016,6,True
Japan,Transportation,2018,429,True
Greece,Transportation,2018,0,True
Bulgaria,Transportation,2019,0,True
Slovenia,Agriculture,2023,0,False
United Kingdom,Agriculture,2020,17,True
Serbia,Agriculture,2023,0,False
Slovakia,Agriculture,2021,0,True
Belgium,Agriculture,2016,0,True
Belgium,Agriculture,2021,0,True
Hungary,All,2016,7,True
Sweden,All,2021,20,True
India,All,2018,270,True
India,All,2021,6,True
Austria,All,2016,10,True
South Africa,All,2021,22,True
Argentina,All,2019,8,True
Greece,All,2016,4,True
South Korea,All,2022,10756,False
Uruguay,Banking and Finance,2017,0,True
Canada,Banking and Finance,2021,60,True
Taiwan,Banking and Finance,2016,1,True
United Kingdom,Banking and Finance,2021,11,True
Slovakia,Banking and Finance,2020,0,True
Denmark,Banking and Finance,2017,2,True
Czechia,Banking and Finance,2023,0,False
Malaysia,Banking and Finance,2016,0,True
Luxembourg,Banking and Finance,2024,3,False
India,Banking and Finance,2020,0,True
Mexico,Business,2022,0,False
Turkey,Business,2020,8,True
Finland,Business,2023,5,False
Colombia,Business,2023,0,False
Brazil,Business,2017,7,True
South Korea,Business,2022,2167,False
Norway,Business,2017,0,True
Malaysia,Business,2016,1,True
Malaysia,Business,2017,6,True
South Africa,Business,2023,0,False
Austria,Business,2024,0,False
Greece,Business,2019,0,True
Peru,Business,2019,0,True
World Intellectual Property Organization (WIPO),Business,2019,80,True
Ireland,Energy Management,2021,0,True
Bulgaria,Energy Management,2020,0,True
World Intellectual Property Organization (WIPO),Energy Management,2023,37,False
Colombia,Energy Management,2021,0,True
Japan,Energy Management,2024,0,False
Sweden,Industry and Manufacturing,2024,0,False
Poland,Industry and Manufacturing,2017,1,True
European Patent Organization,Industry and Manufacturing,2016,6,True
Switzerland,Industry and Manufacturing,2016,0,True
Thailand,Industry and Manufacturing,2017,0,True
Australia,Industry and Manufacturing,2023,11,False
Australia,Industry and Manufacturing,2024,0,False
Argentina,Industry and Manufacturing,2019,0,True
Serbia,Life Sciences,2019,0,True
Japan,Life Sciences,2019,752,True
World Intellectual Property Organization (WIPO),Life Sciences,2019,127,True
United Kingdom,Life Sciences,2016,22,True
United Kingdom,Life Sciences,2017,45,True
United Kingdom,Life Sciences,2020,86,True
Costa Rica,Life Sciences,2019,1,True
Russia,Personal Devices and Computing,2017,85,True
Austria,Personal Devices and Computing,2018,3,True
Austria,Personal Devices and Computing,2022,2,False
Denmark,Personal Devices and Computing,2017,10,True
Slovenia,Personal Devices and Computing,2016,0,True
Philippines,Personal Devices and Computing,2020,7,True
Poland,Personal Devices and Computing,2018,10,True
United States,Personal Devices and Computing,2023,1441,False
Philippines,Physical Sciences and Engineering,2020,2,True
Peru,Physical Sciences and Engineering,2023,0,False
Canada,Physical Sciences and Engineering,2021,74,True
South Africa,Physical Sciences and Engineering,2021,0,True
Denmark,Physical Sciences and Engineering,2020,0,True
Ireland,Physical Sciences and Engineering,2022,0,False
Italy,Physical Sciences and Engineering,2016,1,True
Israel,Physical Sciences and Engineering,2018,1,True
Israel,Physical Sciences and Engineering,2024,0,False
Australia,Physical Sciences and Engineering,2022,25,False
Australia,Physical Sciences and Engineering,2024,0,False
Turkey,Physical Sciences and Engineering,2020,2,True
Latvia,Security,2017,0,True
Latvia,Security,2020,0,True
Hungary,Security,2022,2,False
United States,Security,2021,887,True
Luxembourg,Security,2025,0,False
Lithuania,Security,2022,0,False
Italy,Security,2020,3,True
Serbia,Security,2019,0,True
Serbia,Security,2020,0,True
European Patent Organization,Security,2023,44,False
Spain,Security,2022,2,False
Romania,Security,2019,0,True
Ukraine,Security,2022,0,False
Austria,Security,2017,0,True
Austria,Security,2019,0,True
Canada,Security,2022,32,False
Azerbaijan,Telecommunications,2018,0,True
World Intellectual Property Organization (WIPO),Telecommunications,2018,30,True
Romania,Telecommunications,2021,0,True
Luxembourg,Telecommunications,2016,0,True
Luxembourg,Telecommunications,2024,9,False
European Patent Organization,Telecommunications,2017,64,True
Italy,Telecommunications,2022,10,False
Singapore,Telecommunications,2016,13,True
China (mainland),Telecommunications,2017,1428,True
Denmark,Telecommunications,2018,9,True
Hungary,Telecommunications,2016,2,True
Peru,Telecommunications,2017,0,True
Greece,Telecommunications,2018,0,True
Turkey,Telecommunications,2021,12,True
Turkey,Telecommunications,2023,14,False
Germany,Transportation,2023,134,False
Luxembourg,Transportation,2022,0,False
Morocco,Transportation,2016,0,True
Turkey,Transportation,2019,2,True
Chile,Transportation,2022,0,False
Slovakia,Transportation,2024,1,False
Canada,Transportation,2023,0,False
Canada,Transportation,2024,0,False
New Zealand,Agriculture,2016,1,True
Spain,Agriculture,2018,7,True
Spain,Agriculture,2021,3,True
Japan,Agriculture,2019,48,True
Japan,Agriculture,2020,36,True
World Intellectual Property Organization (WIPO),Agriculture,2022,32,False
Israel,Agriculture,2016,0,True
Lithuania,Agriculture,2018,1,True
Peru,All,2020,13,True
China (mainland),All,2023,120006,False
India,All,2017,270,True
Spain,All,2023,26,False
Philippines,All,2020,27,True
Philippines,All,2022,12,False
Philippines,Banking and Finance,2017,0,True
Sweden,Banking and Finance,2016,3,True
Mexico,Banking and Finance,2017,1,True
Ukraine,Banking and Finance,2018,0,True
Turkey,Banking and Finance,2024,0,False
Belgium,Banking and Finance,2019,0,True
Belgium,Banking and Finance,2020,0,True
Israel,Banking and Finance,2021,0,True
France,Business,2019,14,True
Italy,Business,2020,6,True
Netherlands,Business,2016,0,True
Israel,Business,2022,0,False
Lithuania,Business,2018,0,True
Costa Rica,Business,2020,0,True
Croatia,Business,2019,0,True
International Bureau of WIPO,Business,2018,1,True
Eurasian Patent Organization,Business,2016,0,True
Moldova,Business,2021,0,True
Slovenia,Energy Management,2016,0,True
Canada,Energy Management,2019,17,True
Italy,Energy Management,2019,5,True
France,Energy Management,2018,5,True
United Kingdom,Energy Management,2019,13,True
South Korea,Energy Management,2022,565,False
Romania,Industry and Manufacturing,2018,0,True
Czechia,Industry and Manufacturing,2019,0,True
France,Industry and Manufacturing,2021,10,True
Portugal,Industry and Manufacturing,2023,0,False
Germany,Industry and Manufacturing,2019,73,True
Slovenia,Life Sciences,2018,3,True
Slovenia,Life Sciences,2023,1,False
Malaysia,Life Sciences,2016,1,True
Malaysia,Life Sciences,2020,2,True
Mexico,Life Sciences,2016,9,True
Luxembourg,Life Sciences,2017,0,True
Turkey,Life Sciences,2023,4,False
Iran,Life Sciences,2018,0,True
Poland,Life Sciences,2019,8,True
Australia,Life Sciences,2019,223,True
Australia,Life Sciences,2021,471,True
Switzerland,Life Sciences,2018,1,True
Denmark,Life Sciences,2016,4,True
Denmark,Life Sciences,2021,4,True
Ireland,Personal Devices and Computing,2021,1,True
China (mainland),Personal Devices and Computing,2016,3241,True
Norway,Personal Devices and Computing,2022,0,False
Czechia,Personal Devices and Computing,2019,0,True
Uruguay,Personal Devices and Computing,2020,1,True
Tunisia,Personal Devices and Computing,2021,1,True
Portugal,Personal Devices and Computing,2020,4,True
South Korea,Personal Devices and Computing,2020,2473,True
Greece,Personal Devices and Computing,2017,6,True
Poland,Personal Devices and Computing,2016,5,True
Switzerland,Personal Devices and Computing,2023,0,False
Austria,Physical Sciences and Engineering,2020,5,True
Belgium,Physical Sciences and Engineering,2018,1,True
Ukraine,Physical Sciences and Engineering,2024,0,False
United States,Physical Sciences and Engineering,2024,3,False
European Patent Organization,Physical Sciences and Engineering,2020,42,True
European Patent Organization,Physical Sciences and Engineering,2023,17,False
Canada,Physical Sciences and Engineering,2024,0,False
Serbia,Physical Sciences and Engineering,2023,0,False
Spain,Physical Sciences and Engineering,2023,6,False
Bulgaria,Physical Sciences and Engineering,2018,0,True
Sweden,Physical Sciences and Engineering,2018,0,True
Sweden,Physical Sciences and Engineering,2024,0,False
Hungary,Physical Sciences and Engineering,2022,1,False
China (mainland),Security,2020,2309,True
Finland,Security,2023,3,False
Belgium,Security,2016,0,True
Belgium,Security,2022,0,False
Australia,Security,2020,74,True
Slovakia,Security,2020,0,True
World Intellectual Property Organization (WIPO),Security,2020,50,True
World Intellectual Property Organization (WIPO),Security,2021,51,True
Serbia,Security,2016,0,True
Romania,Security,2022,0,False
Argentina,Security,2022,0,False
Brazil,Security,2016,6,True
World Intellectual Property Organization (WIPO),Telecommunications,2022,396,False
Latvia,Telecommunications,2020,1,True
Poland,Telecommunications,2022,1,False
Norway,Telecommunications,2019,1,True
Taiwan,Telecommunications,2018,35,True
Croatia,Telecommunications,2022,0,False
Malaysia,Transportation,2018,2,True
Taiwan,Transportation,2023,7,False
Israel,Transportation,2017,5,True
New Zealand,Transportation,2020,1,True
Brazil,Transportation,2020,8,True
India,Transportation,2017,12,True
Chile,Transportation,2024,1,False
Romania,Transportation,2017,0,True
Mexico,Transportation,2017,14,True
Bulgaria,Agriculture,2017,0,True
Hungary,Agriculture,2020,0,True
Sweden,Agriculture,2017,2,True
Sweden,Agriculture,2022,0,False
Austria,Agriculture,2022,0,False
South Africa,Agriculture,2016,1,True
Ireland,All,2023,2,False
Finland,All,2023,21,False
Japan,All,2017,2378,True
South Africa,All,2024,48,False
Singapore,All,2020,52,True
Portugal,All,2017,8,True
Bulgaria,All,2020,12,True
South Korea,All,2016,1162,True
Bulgaria,Banking and Finance,2022,0,False
Lithuania,Banking and Finance,2016,0,True
Mexico,Banking and Finance,2016,3,True
Brazil,Banking and Finance,2022,0,False
Denmark,Banking and Finance,2022,0,False
Portugal,Banking and Finance,2021,0,True
Chile,Banking and Finance,2023,0,False
Spain,Banking and Finance,2019,4,True
Belgium,Banking and Finance,2022,0,False
Luxembourg,Banking and Finance,2019,0,True
Italy,Banking and Finance,2023,1,False
Australia,Banking and Finance,2022,32,False
Australia,Banking and Finance,2024,0,False
Taiwan,Business,2024,1,False
Italy,Business,2017,3,True
Brazil,Business,2022,3,False
Cuba,Business,2020,0,True
Hungary,Business,2018,1,True
United States,Business,2024,12,False
Lithuania,Business,2019,0,True
Ireland,Business,2021,1,True
Ireland,Business,2022,0,False
Portugal,Business,2022,0,False
Slovenia,Business,2016,0,True
Greece,Business,2021,2,True
Netherlands,Energy Management,2020,0,True
Bulgaria,Energy Management,2018,0,True
Israel,Energy Management,2019,0,True
Greece,Energy Management,2017,0,True
Italy,Energy Management,2018,2,True
European Patent Organization,Energy Management,2018,12,True
New Zealand,Energy Management,2020,0,True
Finland,Energy Management,2018,2,True
Finland,Energy Management,2021,3,True
China (mainland),Energy Management,2017,754,True
Portugal,Energy Management,2016,0,True
Colombia,Energy Management,2017,0,True
Japan,Energy Management,2022,98,False
Hungary,Energy Management,2019,2,True
Lithuania,Industry and Manufacturing,2019,0,True
Canada,Industry and Manufacturing,2023,1,False
China (mainland),Industry and Manufacturing,2025,133,False
South Korea,Industry and Manufacturing,2020,501,True
Italy,Industry and Manufacturing,2022,6,False
United Kingdom,Industry and Manufacturing,2019,12,True
Chile,Industry and Manufacturing,2022,1,False
Philippines,Industry and Manufacturing,2023,0,False
Saudi Arabia,Life Sciences,2018,0,True
China (mainland),Personal Devices and Computing,2018,10321,True
South Africa,Personal Devices and Computing,2022,0,False
Peru,Personal Devices and Computing,2016,0,True
Australia,Personal Devices and Computing,2017,123,True
Ukraine,Personal Devices and Computing,2019,1,True
Philippines,Personal Devices and Computing,2018,1,True
Italy,Personal Devices and Computing,2018,11,True
United States,Physical Sciences and Engineering,2020,412,True
South Korea,Physical Sciences and Engineering,2019,275,True
Mexico,Physical Sciences and Engineering,2021,21,True
World Intellectual Property Organization (WIPO),Physical Sciences and Engineering,2017,1,True
Argentina,Physical Sciences and Engineering,2022,7,False
Brazil,Physical Sciences and Engineering,2017,9,True
Lithuania,Physical Sciences and Engineering,2020,2,True
Italy,Physical Sciences and Engineering,2020,0,True
Israel,Physical Sciences and Engineering,2016,1,True
Mexico,Security,2021,5,True
South Korea,Security,2016,55,True
South Korea,Security,2020,618,True
Israel,Security,2019,3,True
United Kingdom,Security,2024,15,False
Slovenia,Security,2016,0,True
Slovakia,Security,2021,0,True
Italy,Security,2017,1,True
World Intellectual Property Organization (WIPO),Security,2018,4,True
Tunisia,Telecommunications,2020,0,True
Ireland,Telecommunications,2023,0,False
United Kingdom,Telecommunications,2018,65,True
Russia,Telecommunications,2017,31,True
Finland,Telecommunications,2022,10,False
Slovenia,Telecommunications,2022,0,False
Germany,Telecommunications,2018,104,True
Hungary,Telecommunications,2017,5,True
Canada,Telecommunications,2023,5,False
Argentina,Telecommunications,2023,3,False
Greece,Telecommunications,2019,0,True
Luxembourg,Transportation,2018,1,True
Estonia,Transportation,2022,0,False
Austria,Transportation,2021,3,True
New Zealand,Transportation,2022,0,False
Kenya,Transportation,2016,1,True
Turkey,Transportation,2018,1,True
Croatia,Transportation,2018,0,True
Romania,Transportation,2023,0,False
Germany,Agriculture,2017,5,True
Colombia,Agriculture,2022,0,False
Bulgaria,Agriculture,2024,1,False
Italy,Agriculture,2021,5,True
Norway,Agriculture,2020,1,True
United Kingdom,All,2019,423,True
Ukraine,All,2017,2,True
Sweden,All,2017,11,True
Norway,All,2021,6,True
Luxembourg,All,2019,10,True
South Africa,All,2022,71,False
Canada,All,2016,336,True
Greece,All,2019,3,True
Greece,All,2020,5,True
Denmark,All,2021,11,True
United States,All,2018,13662,True
Philippines,Banking and Finance,2022,0,False
Jordan,Banking and Finance,2019,0,True
Eurasian Patent Organization,Banking and Finance,2019,0,True
Ukraine,Banking and Finance,2016,0,True
Brazil,Banking and Finance,2019,13,True
Chile,Banking and Finance,2021,0,True
Czechia,Banking and Finance,2019,0,True
Peru,Banking and Finance,2021,1,True
Norway,Banking and Finance,2023,0,False
Mexico,Business,2021,16,True
Canada,Business,2024,1,False
Turkey,Business,2021,6,True
Switzerland,Business,2021,3,True
Portugal,Business,2017,0,True
Slovenia,Business,2023,0,False
Morocco,Business,2022,2,False
Czechia,Business,2021,0,True
World Intellectual Property Organization (WIPO),Business,2021,162,True
World Intellectual Property Organization (WIPO),Business,2024,3,False
Norway,Energy Management,2020,0,True
Poland,Energy Management,2020,3,True
Australia,Energy Management,2019,18,True
India,Energy Management,2020,0,True
Latvia,Energy Management,2017,0,True
Switzerland,Energy Management,2021,0,True
China (mainland),Energy Management,2024,11720,False
Portugal,Energy Management,2022,0,False
Sweden,Industry and Manufacturing,2018,3,True
Finland,Industry and Manufacturing,2017,1,True
Russia,Industry and Manufacturing,2017,5,True
Slovakia,Industry and Manufacturing,2024,0,False
Norway,Industry and Manufacturing,2022,2,False
Singapore,Industry and Manufacturing,2016,2,True
Czechia,Industry and Manufacturing,2021,0,True
Portugal,Industry and Manufacturing,2022,0,False
Saudi Arabia,Industry and Manufacturing,2022,1,False
Saudi Arabia,Industry and Manufacturing,2023,0,False
Germany,Industry and Manufacturing,2020,112,True
Malaysia,Life Sciences,2022,0,False
Mexico,Life Sciences,2018,30,True
Mexico,Life Sciences,2021,44,True
Luxembourg,Life Sciences,2016,0,True
Luxembourg,Life Sciences,2018,3,True
Germany,Life Sciences,2020,120,True
United Kingdom,Life Sciences,2023,68,False
Denmark,Life Sciences,2017,12,True
Eurasian Patent Organization,Personal Devices and Computing,2019,1,True
Peru,Personal Devices and Computing,2021,0,True
Panama,Personal Devices and Computing,2016,0,True
Austria,Personal Devices and Computing,2024,1,False
Argentina,Personal Devices and Computing,2018,4,True
Colombia,Personal Devices and Computing,2017,0,True
Colombia,Personal Devices and Computing,2021,1,True
Singapore,Personal Devices and Computing,2020,29,True
Turkey,Personal Devices and Computing,2017,2,True
Ukraine,Personal Devices and Computing,2018,1,True
United Kingdom,Personal Devices and Computing,2024,81,False
Switzerland,Personal Devices and Computing,2016,1,True
Tunisia,Physical Sciences and Engineering,2022,0,False
Czechia,Physical Sciences and Engineering,2022,0,False
Morocco,Physical Sciences and Engineering,2018,2,True
Canada,Physical Sciences and Engineering,2016,24,True
Slovakia,Physical Sciences and Engineering,2020,0,True
Denmark,Physical Sciences and Engineering,2017,0,True
Uruguay,Physical Sciences and Engineering,2022,0,False
Australia,Physical Sciences and Engineering,2023,13,False
Norway,Physical Sciences and Engineering,2018,0,True
Finland,Physical Sciences and Engineering,2017,0,True
Japan,Physical Sciences and Engineering,2021,145,True
Japan,Physical Sciences and Engineering,2024,2,False
Hungary,Physical Sciences and Engineering,2020,0,True
Costa Rica,Security,2019,0,True
Hungary,Security,2023,0,False
South Korea,Security,2018,226,True
Luxembourg,Security,2021,2,True
Iran,Security,2018,1,True
Denmark,Security,2018,2,True
Germany,Security,2019,30,True
Morocco,Security,2019,2,True
World Intellectual Property Organization (WIPO),Telecommunications,2016,2,True
Lithuania,Telecommunications,2017,0,True
India,Telecommunications,2019,2,True
Malaysia,Telecommunications,2016,4,True
Chile,Telecommunications,2018,0,True
Ireland,Telecommunications,2022,0,False
European Patent Organization,Telecommunications,2020,193,True
Brazil,Telecommunications,2018,21,True
Hungary,Telecommunications,2018,1,True
Taiwan,Telecommunications,2017,15,True
Peru,Telecommunications,2018,0,True
Argentina,Telecommunications,2020,1,True
Mexico,Telecommunications,2018,13,True
Mexico,Telecommunications,2020,25,True
South Africa,Transportation,2022,0,False
Taiwan,Transportation,2017,3,True
Poland,Transportation,2023,0,False
China (mainland),Transportation,2025,172,False
France,Transportation,2019,35,True
Jordan,Transportation,2021,0,True
San Marino,Transportation,2020,0,True
Australia,Agriculture,2021,73,True
Japan,Agriculture,2017,28,True
Colombia,Agriculture,2021,0,True
Portugal,Agriculture,2016,1,True
Taiwan,Agriculture,2018,2,True
Sweden,Agriculture,2024,0,False
Canada,Agriculture,2023,1,False
South Korea,Agriculture,2021,199,True
Morocco,Agriculture,2022,2,False
Malaysia,Agriculture,2017,1,True
Malaysia,Agriculture,2019,0,True
Ireland,All,2016,2,True
United Kingdom,All,2021,478,True
Romania,All,2021,12,True
Argentina,All,2020,10,True
New Zealand,All,2017,20,True
New Zealand,All,2020,7,True
France,Banking and Finance,2017,5,True
France,Banking and Finance,2019,13,True
Canada,Banking and Finance,2018,46,True
Finland,Banking and Finance,2022,0,False
Romania,Banking and Finance,2016,0,True
Romania,Banking and Finance,2020,0,True
Ukraine,Banking and Finance,2024,0,False
Slovakia,Banking and Finance,2023,0,False
Czechia,Banking and Finance,2021,0,True
Iran,Banking and Finance,2018,0,True
Croatia,Banking and Finance,2019,0,True
United Kingdom,Business,2022,37,False
France,Business,2020,16,True
Colombia,Business,2022,1,False
South Korea,Business,2016,168,True
Chile,Business,2017,0,True
Switzerland,Business,2017,0,True
Switzerland,Business,2019,0,True
Morocco,Business,2021,0,True
Germany,Business,2017,24,True
Australia,Business,2022,53,False
Denmark,Business,2020,4,True
Bulgaria,Business,2024,2,False
Russia,Business,2018,13,True
European Patent Organization,Business,2019,78,True
Israel,Energy Management,2016,0,True
Belgium,Energy Management,2020,1,True
Singapore,Energy Management,2020,0,True
Poland,Energy Management,2019,1,True
Spain,Energy Management,2017,5,True
China (mainland),Energy Management,2019,2015,True
Tunisia,Energy Management,2022,0,False
Austria,Energy Management,2022,2,False
Greece,Industry and Manufacturing,2023,0,False
Canada,Industry and Manufacturing,2017,37,True
China (mainland),Industry and Manufacturing,2020,2962,True
United States,Industry and Manufacturing,2019,577,True
Jordan,Industry and Manufacturing,2019,0,True
Hungary,Industry and Manufacturing,2017,0,True
Colombia,Industry and Manufacturing,2022,0,False
Brazil,Industry and Manufacturing,2019,12,True
Denmark,Industry and Manufacturing,2021,1,True
India,Industry and Manufacturing,2019,0,True
Sweden,Life Sciences,2022,5,False
