country,field,year,num_articles,complete
Tanzania,All,2024,81,True
Gabon,All,2017,1,True
Afghanistan,All,2020,11,True
Romania,All,2023,1328,True
Jamaica,All,2024,7,True
Mozambique,All,2022,6,True
Mozambique,All,2024,15,True
Comoros,All,2023,5,True
Bolivia,All,2019,3,True
New Zealand,All,2026,1,False
Bosnia and Herzegovina,All,2018,104,True
Yemen,All,2022,205,True
Angola,All,2016,2,True
Somalia,All,2019,4,True
Hungary,All,2019,576,True
Serbia,All,2020,343,True
Panama,All,2021,21,True
Greece,All,2018,1061,True
Luxembourg,All,2023,331,True
Kuwait,All,2016,44,True
Oman,All,2016,51,True
Liberia,All,2022,11,True
Trinidad and Tobago,All,2021,19,True
Trinidad and Tobago,All,2022,26,True
Côte d'Ivoire,All,2021,16,True
Côte d'Ivoire,All,2023,28,True
Quad,All,2019,67972,True
Dominica,All,2017,1,True
Cuba,All,2023,31,True
France,All,2017,5410,True
Saint Kitts and Nevis,All,2020,1,True
Canada,Computer Vision,2018,1268,True
Eritrea,Computer Vision,2025,2,False
Paraguay,Computer Vision,2021,16,True
Slovakia,Computer Vision,2023,121,True
Mali,Computer Vision,2020,1,True
Ethiopia,Computer Vision,2021,87,True
Finland,Computer Vision,2016,214,True
Equatorial Guinea,Computer Vision,2020,1,True
New Zealand,Computer Vision,2025,132,False
Cape Verde,Computer Vision,2017,2,True
Lithuania,Computer Vision,2021,66,True
Rwanda,Computer Vision,2021,17,True
Turkey,Computer Vision,2021,1046,True
Ecuador,Computer Vision,2025,36,False
Qatar,Computer Vision,2024,141,True
Switzerland,Computer Vision,2022,962,True
Algeria,Computer Vision,2019,207,True
Nigeria,Computer Vision,2024,225,True
Mauritius,Computer Vision,2022,14,True
Germany,Computer Vision,2023,3677,True
Kosovo,Computer Vision,2017,3,True
Kuwait,Computer Vision,2017,8,True
United States,Computer Vision,2022,10456,True
Cameroon,Computer Vision,2018,9,True
Côte d'Ivoire,Computer Vision,2022,8,True
Thailand,Computer Vision,2023,515,True
Zimbabwe,Computer Vision,2019,2,True
Botswana,Computer Vision,2025,4,False
South and Central America,Computer Vision,2020,1553,True
Poland,Computer Vision,2022,490,True
Fiji,Computer Vision,2019,2,True
Guatemala,Computer Vision,2018,1,True
Romania,Large language models,2021,44,True
Netherlands,Large language models,2021,222,True
Brunei Darussalam,Large language models,2024,2,True
Asia,Large language models,2021,7040,True
Montenegro,Large language models,2022,2,True
Five Eyes,Large language models,2020,3664,True
Australia,Large language models,2018,51,True
Australia,Large language models,2022,423,True
Libya,Large language models,2023,4,True
Philippines,Large language models,2019,2,True
New Zealand,Large language models,2022,39,True
Uganda,Large language models,2024,7,True
Belgium,Large language models,2019,16,True
Africa,Large language models,2020,57,True
Israel,Large language models,2021,190,True
South Korea,Large language models,2022,532,True
Mauritius,Large language models,2018,1,True
EU,Large language models,2024,3408,True
France,Large language models,2022,318,True
OECD,Large language models,2018,1580,True
Italy,Large language models,2022,231,True
Yemen,Large language models,2024,11,True
Ukraine,Large language models,2025,26,False
Egypt,Large language models,2020,14,True
Thailand,Large language models,2023,53,True
Slovenia,Natural Language Processing,2016,47,True
Burundi,Natural Language Processing,2023,3,True
Luxembourg,Natural Language Processing,2023,31,True
Denmark,Natural Language Processing,2017,120,True
Egypt,Natural Language Processing,2018,97,True
North Macedonia,Natural Language Processing,2018,11,True
Japan,Natural Language Processing,2023,965,True
France,Natural Language Processing,2019,768,True
Ireland,Natural Language Processing,2021,183,True
North Korea,Natural Language Processing,2023,1,True
Kyrgyzstan,Natural Language Processing,2020,1,True
EU,Natural Language Processing,2019,4699,True
Asia,Natural Language Processing,2019,9456,True
Serbia,Natural Language Processing,2018,28,True
Belgium,Natural Language Processing,2019,157,True
Tanzania,Natural Language Processing,2025,7,False
Czechia,Natural Language Processing,2018,125,True
Albania,Natural Language Processing,2019,1,True
Nepal,Natural Language Processing,2025,6,False
Madagascar,Natural Language Processing,2023,2,True
Switzerland,Natural Language Processing,2017,179,True
NATO,Natural Language Processing,2018,8831,True
NATO,Natural Language Processing,2023,13539,True
Russia,Natural Language Processing,2024,359,True
Uruguay,Natural Language Processing,2024,7,True
Bulgaria,Natural Language Processing,2023,32,True
Georgia,Natural Language Processing,2019,2,True
Morocco,Natural Language Processing,2023,166,True
Iran,Natural Language Processing,2017,102,True
Bulgaria,Robotics,2018,57,True
Saudi Arabia,Robotics,2017,81,True
United Arab Emirates,Robotics,2019,101,True
Fiji,Robotics,2020,11,True
Mauritius,Robotics,2024,4,True
Cuba,Robotics,2023,5,True
China (mainland),Robotics,2025,12244,False
Nepal,Robotics,2016,4,True
NATO,Robotics,2021,18410,True
Africa,Robotics,2022,742,True
Africa,Robotics,2023,830,True
France,Robotics,2018,1250,True
Lebanon,Robotics,2025,25,False
Panama,Robotics,2024,9,True
Dominica,Robotics,2024,1,True
South Korea,Robotics,2022,1449,True
Uzbekistan,Robotics,2022,15,True
Greece,Robotics,2019,185,True
Latvia,AI Safety,2021,1,True
Malta,AI Safety,2017,3,True
Europe,AI Safety,2022,1749,True
Austria,AI Safety,2019,33,True
Malawi,AI Safety,2024,1,True
Cyprus,AI Safety,2016,1,True
Peru,AI Safety,2016,1,True
Czechia,AI Safety,2021,9,True
Saudi Arabia,AI Safety,2017,6,True
Finland,AI Safety,2022,29,True
Armenia,AI Safety,2025,1,False
Ecuador,AI Safety,2017,1,True
United Arab Emirates,AI Safety,2021,16,True
Asia,AI Safety,2026,3,False
Taiwan,AI Safety,2021,44,True
Argentina,AI Safety,2025,4,False
Kazakhstan,AI Safety,2017,1,True
Iran,All,2019,2115,True
NATO,All,2019,87585,True
Bulgaria,All,2025,267,False
Lebanon,All,2023,588,True
Albania,All,2023,66,True
Cameroon,All,2025,44,False
Japan,All,2026,1,False
Brunei Darussalam,All,2017,17,True
North Korea,All,2024,8,True
Thailand,All,2020,856,True
Afghanistan,All,2017,1,True
Afghanistan,All,2023,45,True
Ukraine,All,2018,741,True
Chile,All,2017,238,True
Bolivia,All,2020,5,True
Brazil,All,2017,2193,True
Congo,All,2020,4,True
Cyprus,All,2025,265,False
Hungary,All,2018,435,True
Armenia,All,2018,22,True
Gambia,All,2021,4,True
United Arab Emirates,All,2016,281,True
Swaziland,All,2024,8,True
Myanmar,All,2023,73,True
China (mainland),All,2017,26415,True
Jordan,All,2020,421,True
Belgium,All,2018,1296,True
Liberia,All,2025,6,False
Global Partnership on Artificial Intelligence,All,2021,158982,True
Nepal,All,2016,16,True
Côte d'Ivoire,All,2016,7,True
Vietnam,All,2023,1997,True
Australia,All,2019,4925,True
Saint Vincent and the Grenadines,All,2025,2,False
Egypt,All,2022,2393,True
Slovakia,Computer Vision,2017,52,True
Belgium,Computer Vision,2017,272,True
Panama,Computer Vision,2023,4,True
Uruguay,Computer Vision,2021,13,True
Myanmar,Computer Vision,2022,13,True
El Salvador,Computer Vision,2020,1,True
Sri Lanka,Computer Vision,2016,32,True
Peru,Computer Vision,2020,102,True
Honduras,Computer Vision,2020,21,True
Quad,Computer Vision,2016,12356,True
Croatia,Computer Vision,2023,115,True
Croatia,Computer Vision,2025,83,False
North Korea,Computer Vision,2020,3,True
Saudi Arabia,Computer Vision,2020,624,True
Austria,Computer Vision,2020,316,True
Austria,Computer Vision,2023,451,True
Sudan,Computer Vision,2021,25,True
Tanzania,Computer Vision,2017,7,True
Tanzania,Computer Vision,2022,27,True
Romania,Computer Vision,2025,182,False
Portugal,Computer Vision,2025,247,False
Zambia,Computer Vision,2020,6,True
Vietnam,Computer Vision,2023,620,True
Serbia,Computer Vision,2024,102,True
Yemen,Computer Vision,2024,39,True
Fiji,Computer Vision,2018,1,True
Romania,Large language models,2022,37,True
Syria,Large language models,2024,6,True
North America and the Caribbean,Large language models,2024,6034,True
Ethiopia,Large language models,2024,16,True
Turkey,Large language models,2025,253,False
Luxembourg,Large language models,2024,29,True
Lithuania,Large language models,2024,8,True
Fiji,Large language models,2022,1,True
Greece,Large language models,2019,15,True
Uruguay,Large language models,2021,3,True
Peru,Large language models,2025,3,False
Qatar,Large language models,2019,8,True
Poland,Large language models,2025,65,False
Saudi Arabia,Large language models,2019,16,True
Iran,Large language models,2017,4,True
Thailand,Large language models,2022,39,True
Brazil,Large language models,2018,19,True
Hungary,Natural Language Processing,2018,49,True
Hungary,Natural Language Processing,2023,102,True
Qatar,Natural Language Processing,2025,22,False
Cambodia,Natural Language Processing,2022,4,True
Turkey,Natural Language Processing,2022,267,True
Global Partnership on Artificial Intelligence,Natural Language Processing,2019,12847,True
Colombia,Natural Language Processing,2016,16,True
Colombia,Natural Language Processing,2022,28,True
Ukraine,Natural Language Processing,2018,81,True
Mexico,Natural Language Processing,2020,143,True
France,Natural Language Processing,2018,710,True
Kazakhstan,Natural Language Processing,2022,44,True
Venezuela,Natural Language Processing,2017,2,True
Venezuela,Natural Language Processing,2019,1,True
Kosovo,Natural Language Processing,2025,2,False
Asia,Natural Language Processing,2020,11317,True
Asia,Natural Language Processing,2022,13704,True
Malawi,Natural Language Processing,2022,2,True
Norway,Natural Language Processing,2021,177,True
Nepal,Natural Language Processing,2019,12,True
Brunei Darussalam,Natural Language Processing,2024,5,True
United States,Natural Language Processing,2023,6268,True
Philippines,Natural Language Processing,2017,25,True
Netherlands,Natural Language Processing,2020,566,True
Russia,Natural Language Processing,2023,424,True
Vietnam,Natural Language Processing,2023,233,True
Georgia,Natural Language Processing,2018,6,True
Bosnia and Herzegovina,Natural Language Processing,2024,6,True
Canada,Robotics,2026,2,False
