country,field,num_articles,num_citations
Sudan,All,697,9393
North Macedonia,All,830,10402
Cameroon,All,529,6619
France,All,65201,1549847
Kazakhstan,All,2971,26154
Malawi,All,116,1209
Burkina Faso,All,130,584
Gabon,All,51,1381
Kuwait,All,1453,21269
Botswana,All,288,3765
Yemen,All,1131,21952
Bahrain,All,1043,9378
Georgia,All,329,4792
Côte d'Ivoire,All,144,1151
North Korea,All,73,347
Chile,All,4022,59086
United Arab Emirates,All,12782,332596
Cyprus,All,2766,58782
Barbados,All,41,318
South and Central America,All,49290,624806
Qatar,All,4195,159436
Bulgaria,All,2999,29466
Jamaica,All,63,303
Kosovo,All,273,2841
China (mainland),All,638758,12478910
Morocco,All,9072,103352
Bosnia and Herzegovina,All,1055,11920
Italy,All,64361,1336733
Serbia,All,3834,57881
Haiti,All,14,210
ASEAN,All,120677,2200766
Algeria,All,7368,76440
Estonia,All,1840,43606
Five Eyes,All,593250,21612845
Luxembourg,All,2159,39101
Quad,All,765062,20420637
Australia,All,54610,1935408
Poland,All,20423,295757
Cuba,All,681,7922
Swaziland,All,41,945
Egypt,All,15504,266326
Norway,All,12395,285715
Mexico,All,12029,143720
Thailand,All,10688,109998
Uruguay,All,545,6693
Costa Rica,All,469,5168
Congo,All,142,1276
Iran,All,22748,402269
Sri Lanka,All,3907,32599
Uganda,All,534,7786
Guatemala,All,116,944
Sweden,All,18692,488251
Brunei Darussalam,All,530,8555
Fiji,All,284,5875
Bolivia,All,83,1052
Paraguay,All,209,2246
Panama,All,206,1716
Mali,All,40,859
Israel,All,13003,640787
Russia,All,32535,301980
Nepal,All,858,13322
United States,All,393893,15928329
Belgium,All,15076,380754
Tunisia,All,7335,109927
Malta,All,774,14542
Portugal,All,15174,277553
Ukraine,All,8931,60263
Albania,All,343,2409
El Salvador,All,89,643
Iraq,All,12666,145710
Czechia,All,9076,180838
Ethiopia,All,2364,37388
Namibia,All,143,1818
Tajikistan,All,41,297
Singapore,All,29286,1250218
Denmark,All,13838,334849
Finland,All,11549,343856
Europe,All,601748,13915506
Lebanon,All,2576,46565
Iceland,All,757,26715
Moldova,All,120,608
Cambodia,All,189,2566
Japan,All,88800,1142191
Libya,All,605,5358
South Africa,All,6862,130739
Peru,All,2835,24551
Senegal,All,378,3486
New Zealand,All,6911,164939
Venezuela,All,449,6310
Afghanistan,All,275,4055
Mongolia,All,251,2055
Nigeria,All,6112,75241
Somalia,All,71,975
Brazil,All,30213,395459
Turkey,All,30897,452463
Slovenia,All,3182,65973
Kyrgyzstan,All,163,1460
Pakistan,All,20954,461093
Ireland,All,9342,224404
Azerbaijan,All,730,4782
Armenia,All,405,8202
Saint Lucia,All,126,1102
North America and the Caribbean,All,457985,17401721
Indonesia,All,38416,267637
OECD,All,1124467,30687865
Germany,All,101269,2957784
Oceania,All,61161,2078314
Spain,All,44471,1028177
Vietnam,All,12336,190076
Syria,All,436,6740
Zimbabwe,All,228,1546
Africa,All,60442,860155
Zambia,All,151,2433
Global Partnership on Artificial Intelligence,All,1300543,31867858
Argentina,All,2584,40646
Ghana,All,1234,23846
Bhutan,All,55,1079
Asia,All,1319658,21403995
Malaysia,All,26483,393780
Slovakia,All,3502,45764
Mauritius,All,280,2454
Dominican Republic,All,63,722
Grenada,All,37,445
India,All,254223,2456034
Greece,All,14728,302199
Croatia,All,3479,54591
Uzbekistan,All,1702,10067
South Korea,All,67372,1487878
Taiwan,All,28847,517581
Romania,All,10922,142765
Ecuador,All,3339,32889
Honduras,All,234,1467
Papua New Guinea,All,97,1288
Colombia,All,6140,75248
United Kingdom,All,117263,4309061
Jordan,All,5830,107081
Hungary,All,6197,95181
Angola,All,91,1742
EU,All,416980,9354047
Tanzania,All,438,6813
Myanmar,All,721,6107
Liechtenstein,All,101,3831
Mozambique,All,67,805
Madagascar,All,85,1123
Austria,All,14582,394918
Kenya,All,1138,12909
Rwanda,All,429,6666
Belarus,All,880,11101
Saudi Arabia,All,28793,659483
Switzerland,All,27331,1195960
Montenegro,All,255,2077
Burundi,All,35,1040
NATO,All,905027,26605365
Bangladesh,All,15242,239016
Oman,All,2156,25291
Maldives,All,55,733
Belgium,Computer Vision,3513,129764
Israel,Computer Vision,2916,171582
Ecuador,Computer Vision,703,7626
EU,Computer Vision,97176,3138527
France,Computer Vision,17103,621056
Slovenia,Computer Vision,602,21984
Sri Lanka,Computer Vision,1056,9271
Rwanda,Computer Vision,140,1961
Benin,Computer Vision,61,374
Trinidad and Tobago,Computer Vision,30,142
Vietnam,Computer Vision,3733,47825
Serbia,Computer Vision,791,13190
North Macedonia,Computer Vision,101,1585
Dominican Republic,Computer Vision,17,99
OECD,Computer Vision,279959,10816024
Romania,Computer Vision,2888,44059
Jordan,Computer Vision,1264,18438
Cambodia,Computer Vision,53,586
Global Partnership on Artificial Intelligence,Computer Vision,358319,11369969
Germany,Computer Vision,25353,1187070
Mexico,Computer Vision,2946,36933
Peru,Computer Vision,801,10089
Zambia,Computer Vision,44,1037
Georgia,Computer Vision,34,366
New Zealand,Computer Vision,1833,41491
Iceland,Computer Vision,324,18847
Azerbaijan,Computer Vision,82,479
Turkey,Computer Vision,8934,166492
Finland,Computer Vision,2760,111232
Iraq,Computer Vision,4794,50683
Japan,Computer Vision,22836,394897
Five Eyes,Computer Vision,144623,7673196
Ghana,Computer Vision,375,6116
United Arab Emirates,Computer Vision,3694,153588
Uganda,Computer Vision,136,2393
Brunei Darussalam,Computer Vision,129,2191
Panama,Computer Vision,60,611
South Korea,Computer Vision,23516,638764
Libya,Computer Vision,185,1458
Afghanistan,Computer Vision,71,807
Spain,Computer Vision,10426,333618
South and Central America,Computer Vision,12148,196400
Philippines,Computer Vision,2141,18098
Nepal,Computer Vision,301,4598
Kuwait,Computer Vision,291,4430
Albania,Computer Vision,66,480
NATO,Computer Vision,216832,9213595
Canada,Computer Vision,16367,624294
Portugal,Computer Vision,3339,68999
Chile,Computer Vision,796,12785
Syria,Computer Vision,116,1573
Latvia,Computer Vision,184,1236
Netherlands,Computer Vision,6792,284984
Bosnia and Herzegovina,Computer Vision,223,2843
Liberia,Computer Vision,14,105
Bulgaria,Computer Vision,578,4679
Mauritius,Computer Vision,74,930
Switzerland,Computer Vision,7330,489064
Oman,Computer Vision,487,5202
Mongolia,Computer Vision,79,483
Uzbekistan,Computer Vision,398,3936
Cuba,Computer Vision,172,3361
Venezuela,Computer Vision,81,897
Kosovo,Computer Vision,34,168
Quad,Computer Vision,220494,7393173
United States,Computer Vision,91279,5647269
Thailand,Computer Vision,3546,36138
Malta,Computer Vision,227,4008
Egypt,Computer Vision,5065,97223
Moldova,Computer Vision,21,47
Tunisia,Computer Vision,2638,59103
Czechia,Computer Vision,2147,66232
Saint Lucia,Computer Vision,25,98
India,Computer Vision,97878,932463
Austria,Computer Vision,3176,133639
Denmark,Computer Vision,2500,65930
Armenia,Computer Vision,84,514
Senegal,Computer Vision,82,1145
Fiji,Computer Vision,29,291
Lithuania,Computer Vision,458,10327
Estonia,Computer Vision,265,7030
Honduras,Computer Vision,54,350
Congo,Computer Vision,24,233
Europe,Computer Vision,145355,4811095
Ukraine,Computer Vision,2219,22646
Argentina,Computer Vision,541,9949
Burkina Faso,Computer Vision,25,83
Poland,Computer Vision,4797,71893
Slovakia,Computer Vision,759,9025
United Kingdom,Computer Vision,29882,1514136
Africa,Computer Vision,17778,288888
Lebanon,Computer Vision,631,10251
Croatia,Computer Vision,899,19316
Greece,Computer Vision,3099,85716
Luxembourg,Computer Vision,335,5897
China (mainland),Computer Vision,268456,6165115
Pakistan,Computer Vision,7029,174397
Qatar,Computer Vision,953,36651
Nigeria,Computer Vision,1185,12694
Oceania,Computer Vision,17859,850363
Singapore,Computer Vision,9213,490978
Kenya,Computer Vision,260,3034
Sweden,Computer Vision,3546,143335
Hungary,Computer Vision,1308,20514
Ethiopia,Computer Vision,731,13999
Kazakhstan,Computer Vision,672,6481
Kyrgyzstan,Computer Vision,40,455
Sudan,Computer Vision,218,3147
Myanmar,Computer Vision,273,2485
Angola,Computer Vision,26,752
Morocco,Computer Vision,2512,26876
Bahrain,Computer Vision,188,1707
Madagascar,Computer Vision,24,668
North Korea,Computer Vision,26,119
ASEAN,Computer Vision,38543,788461
Colombia,Computer Vision,1661,23286
Tanzania,Computer Vision,127,3226
Cameroon,Computer Vision,121,1790
Côte d'Ivoire,Computer Vision,58,344
Costa Rica,Computer Vision,139,1966
Australia,Computer Vision,16133,813883
Iran,Computer Vision,6140,108467
Uruguay,Computer Vision,123,1988
Malaysia,Computer Vision,8546,120300
Bangladesh,Computer Vision,5762,91649
Algeria,Computer Vision,2447,25762
South Africa,Computer Vision,1516,29997
Botswana,Computer Vision,64,504
Asia,Computer Vision,490394,9291065
Ireland,Computer Vision,1926,44965
Malawi,Computer Vision,24,320
Cyprus,Computer Vision,690,16023
Norway,Computer Vision,3104,79957
North America and the Caribbean,Computer Vision,107643,6078731
Taiwan,Computer Vision,10308,216118
Saudi Arabia,Computer Vision,8313,222920
Brazil,Computer Vision,7521,131044
Indonesia,Computer Vision,11780,81793
Yemen,Computer Vision,324,5376
Belarus,Computer Vision,350,9469
Russia,Computer Vision,7326,91517
Montenegro,Computer Vision,81,679
Italy,Computer Vision,13234,361551
South Africa,Large language models,182,6007
Oman,Large language models,37,245
Ecuador,Large language models,40,408
Switzerland,Large language models,1732,103480
Bangladesh,Large language models,611,7635
OECD,Large language models,59303,3096613
United States,Large language models,27759,2113126
Netherlands,Large language models,1469,61124
Czechia,Large language models,347,10637
Cambodia,Large language models,14,54
Europe,Large language models,23776,1004410
Australia,Large language models,3410,130922
Spain,Large language models,1247,32149
New Zealand,Large language models,239,7485
Kuwait,Large language models,42,363
Latvia,Large language models,30,734
Taiwan,Large language models,1336,25761
Armenia,Large language models,14,514
Ethiopia,Large language models,66,860
Hungary,Large language models,143,2395
Peru,Large language models,32,360
Slovenia,Large language models,122,1941
Uzbekistan,Large language models,32,375
Iran,Large language models,462,13550
Oceania,Large language models,3625,136901
Austria,Large language models,428,13182
Canada,Large language models,3409,162190
Slovakia,Large language models,56,557
Philippines,Large language models,124,1634
Myanmar,Large language models,36,155
Vietnam,Large language models,661,7801
Algeria,Large language models,88,757
North Macedonia,Large language models,24,327
ASEAN,Large language models,5583,190556
South Korea,Large language models,4221,119489
Greece,Large language models,429,12434
EU,Large language models,15357,605848
United Kingdom,Large language models,6829,447506
Thailand,Large language models,282,2272
Portugal,Large language models,342,9246
Quad,Large language models,38558,2320607
United Arab Emirates,Large language models,678,31185
Russia,Large language models,709,14410
China (mainland),Large language models,50502,1329673
Ireland,Large language models,495,16046
Croatia,Large language models,79,994
Romania,Large language models,273,4797
Jordan,Large language models,177,2413
Morocco,Large language models,202,1485
Ukraine,Large language models,142,1046
Cyprus,Large language models,53,1036
Nepal,Large language models,32,360
Italy,Large language models,1986,52023
Mexico,Large language models,180,3514
Israel,Large language models,1046,160689
Iraq,Large language models,134,799
Lebanon,Large language models,55,2436
Lithuania,Large language models,40,987
Asia,Large language models,72351,1910381
France,Large language models,2406,86145
Indonesia,Large language models,754,6879
Luxembourg,Large language models,101,1083
Sri Lanka,Large language models,118,725
Argentina,Large language models,64,1328
Serbia,Large language models,61,645
Japan,Large language models,4137,85646
Saudi Arabia,Large language models,1035,24371
Turkey,Large language models,826,10712
Bulgaria,Large language models,59,1301
Qatar,Large language models,175,5721
NATO,Large language models,47726,2782982
Sweden,Large language models,672,28485
Five Eyes,Large language models,38462,2533078
Denmark,Large language models,707,25307
Egypt,Large language models,389,7892
Singapore,Large language models,3342,168719
Finland,Large language models,441,13101
Yemen,Large language models,39,906
Germany,Large language models,4724,295254
Malaysia,Large language models,442,6104
North America and the Caribbean,Large language models,30493,2204099
Pakistan,Large language models,508,7522
Belgium,Large language models,530,14567
Brazil,Large language models,593,8835
Nigeria,Large language models,65,1190
India,Large language models,4927,76403
Africa,Large language models,1203,19830
Poland,Large language models,419,19999
Tunisia,Large language models,113,1397
Colombia,Large language models,88,1419
Ghana,Large language models,21,433
Kazakhstan,Large language models,105,692
Global Partnership on Artificial Intelligence,Large language models,62882,3181820
Chile,Large language models,115,1218
South and Central America,Large language models,940,13602
Norway,Large language models,343,7897
Kenya,Large language models,38,713
Bangladesh,Natural Language Processing,1944,25931
South and Central America,Natural Language Processing,4386,46205
Saudi Arabia,Natural Language Processing,2856,53943
Bulgaria,Natural Language Processing,337,8006
Canada,Natural Language Processing,6212,202477
Estonia,Natural Language Processing,275,6724
Colombia,Natural Language Processing,299,2922
Netherlands,Natural Language Processing,4684,129718
South Korea,Natural Language Processing,4073,84021
Senegal,Natural Language Processing,43,512
Africa,Natural Language Processing,5881,71602
Albania,Natural Language Processing,60,635
Finland,Natural Language Processing,1409,35485
EU,Natural Language Processing,45497,973245
United Kingdom,Natural Language Processing,13876,506583
Belgium,Natural Language Processing,1740,33243
Ireland,Natural Language Processing,1553,47609
Indonesia,Natural Language Processing,5296,44165
Uzbekistan,Natural Language Processing,397,1514
Peru,Natural Language Processing,172,1414
Latvia,Natural Language Processing,167,1725
North Macedonia,Natural Language Processing,153,1471
Armenia,Natural Language Processing,74,1774
Asia,Natural Language Processing,110950,2028912
Brazil,Natural Language Processing,2976,32036
Kuwait,Natural Language Processing,134,1737
Egypt,Natural Language Processing,1405,22464
Sudan,Natural Language Processing,86,1006
Tanzania,Natural Language Processing,34,200
Denmark,Natural Language Processing,1786,49151
Greece,Natural Language Processing,1156,29507
Slovenia,Natural Language Processing,514,7311
Yemen,Natural Language Processing,203,3299
Croatia,Natural Language Processing,421,4877
NATO,Natural Language Processing,100152,3392132
Iran,Natural Language Processing,1382,24013
Hungary,Natural Language Processing,639,8264
Ghana,Natural Language Processing,94,2127
Oman,Natural Language Processing,156,1383
Five Eyes,Natural Language Processing,66314,2857394
North America and the Caribbean,Natural Language Processing,52003,2450413
Jordan,Natural Language Processing,838,16616
Georgia,Natural Language Processing,43,288
Kenya,Natural Language Processing,116,1703
Argentina,Natural Language Processing,333,4112
Myanmar,Natural Language Processing,183,1390
Cuba,Natural Language Processing,51,195
Kosovo,Natural Language Processing,38,432
Australia,Natural Language Processing,4703,127855
Pakistan,Natural Language Processing,1836,35393
Malaysia,Natural Language Processing,1913,20831
Turkey,Natural Language Processing,2315,32708
Botswana,Natural Language Processing,36,195
Mauritius,Natural Language Processing,29,139
Qatar,Natural Language Processing,600,33767
Morocco,Natural Language Processing,1155,11825
Lebanon,Natural Language Processing,212,5830
Iceland,Natural Language Processing,78,892
Syria,Natural Language Processing,48,402
Tunisia,Natural Language Processing,701,7427
Azerbaijan,Natural Language Processing,112,683
OECD,Natural Language Processing,117525,3710116
Ukraine,Natural Language Processing,885,5537
Sri Lanka,Natural Language Processing,584,5758
Ecuador,Natural Language Processing,176,1383
Poland,Natural Language Processing,1888,29634
Algeria,Natural Language Processing,591,5919
Slovakia,Natural Language Processing,369,3517
Nigeria,Natural Language Processing,492,5811
Serbia,Natural Language Processing,336,2216
Malta,Natural Language Processing,127,4443
Costa Rica,Natural Language Processing,39,190
Belarus,Natural Language Processing,60,88
Europe,Natural Language Processing,65466,1440675
Germany,Natural Language Processing,12322,323495
France,Natural Language Processing,7164,152092
India,Natural Language Processing,22360,266061
Italy,Natural Language Processing,5025,110103
Bahrain,Natural Language Processing,73,881
United Arab Emirates,Natural Language Processing,1113,28654
Kazakhstan,Natural Language Processing,469,2622
Lithuania,Natural Language Processing,243,2661
Cameroon,Natural Language Processing,45,272
Oceania,Natural Language Processing,5294,141199
Cyprus,Natural Language Processing,147,3565
ASEAN,Natural Language Processing,13008,249835
Vietnam,Natural Language Processing,1424,17242
Mexico,Natural Language Processing,1033,20826
Nepal,Natural Language Processing,100,1409
Montenegro,Natural Language Processing,33,104
Quad,Natural Language Processing,77894,2707301
United States,Natural Language Processing,46270,2318833
Israel,Natural Language Processing,2074,198298
Romania,Natural Language Processing,1158,19805
Mongolia,Natural Language Processing,51,513
Bosnia and Herzegovina,Natural Language Processing,81,359
Russia,Natural Language Processing,3809,31805
Iraq,Natural Language Processing,841,5489
Global Partnership on Artificial Intelligence,Natural Language Processing,132970,3884176
Uganda,Natural Language Processing,59,1123
China (mainland),Natural Language Processing,46761,984378
Japan,Natural Language Processing,7405,119127
Ethiopia,Natural Language Processing,269,2849
Spain,Natural Language Processing,4961,100471
Singapore,Natural Language Processing,2934,159912
Chile,Natural Language Processing,393,4042
Brunei Darussalam,Natural Language Processing,45,722
Afghanistan,Natural Language Processing,21,159
Czechia,Natural Language Processing,1387,31087
Norway,Natural Language Processing,1346,30051
Thailand,Natural Language Processing,968,7010
Switzerland,Natural Language Processing,2993,89685
Taiwan,Natural Language Processing,2153,38805
New Zealand,Natural Language Processing,645,15863
Sweden,Natural Language Processing,1836,38527
Portugal,Natural Language Processing,1340,24045
Austria,Natural Language Processing,1250,26684
Cambodia,Natural Language Processing,27,519
South Africa,Natural Language Processing,710,12710
Luxembourg,Natural Language Processing,183,2554
Philippines,Natural Language Processing,508,3184
New Zealand,Robotics,1134,21864
Estonia,Robotics,349,4720
North Macedonia,Robotics,81,679
Cuba,Robotics,46,382
OECD,Robotics,218026,3552812
Japan,Robotics,30610,208208
Iran,Robotics,3552,41591
Slovenia,Robotics,562,7700
Indonesia,Robotics,3631,17726
Serbia,Robotics,523,5361
Syria,Robotics,69,553
Asia,Robotics,200181,2134166
Colombia,Robotics,1181,13079
ASEAN,Robotics,15009,192255
United Arab Emirates,Robotics,1586,24170
Morocco,Robotics,496,3936
Fiji,Robotics,80,911
Qatar,Robotics,332,5505
Oman,Robotics,180,1269
Nepal,Robotics,49,597
Mongolia,Robotics,25,223
Bulgaria,Robotics,610,5576
Paraguay,Robotics,38,481
Bangladesh,Robotics,765,6885
China (mainland),Robotics,101655,1242839
Ukraine,Robotics,1312,5656
Brazil,Robotics,5169,49617
Philippines,Robotics,509,3804
Bosnia and Herzegovina,Robotics,192,1724
Venezuela,Robotics,98,1321
Argentina,Robotics,459,4814
Sweden,Robotics,4024,85303
Sri Lanka,Robotics,482,3450
Lithuania,Robotics,258,2764
Panama,Robotics,55,336
Oceania,Robotics,8207,179430
Denmark,Robotics,2793,39687
Russia,Robotics,7784,36755
Canada,Robotics,10318,206559
Mexico,Robotics,3218,30070
Yemen,Robotics,49,521
Kuwait,Robotics,168,1765
Algeria,Robotics,991,9834
Peru,Robotics,613,4022
Ireland,Robotics,993,21394
Rwanda,Robotics,25,323
Armenia,Robotics,35,258
Australia,Robotics,7051,157916
Jordan,Robotics,388,4522
Thailand,Robotics,1281,11594
Libya,Robotics,75,487
United Kingdom,Robotics,18710,407035
Chile,Robotics,592,8477
EU,Robotics,82868,1335736
France,Robotics,11287,178162
Uzbekistan,Robotics,95,410
Honduras,Robotics,87,478
Germany,Robotics,21537,395443
Israel,Robotics,1699,33867
Costa Rica,Robotics,87,694
Saudi Arabia,Robotics,1667,27568
Slovakia,Robotics,849,7344
Cyprus,Robotics,383,8529
NATO,Robotics,164851,2961135
Five Eyes,Robotics,98231,2073839
North America and the Caribbean,Robotics,77959,1646318
Turkey,Robotics,4662,52973
Romania,Robotics,2417,19987
Tunisia,Robotics,791,8545
India,Robotics,17810,136390
Nigeria,Robotics,465,3215
Malaysia,Robotics,3168,32546
Taiwan,Robotics,4584,50607
Iraq,Robotics,1181,12667
Malta,Robotics,74,678
Ghana,Robotics,38,553
El Salvador,Robotics,46,441
Quad,Robotics,118361,1889459
South Korea,Robotics,13026,199395
Ethiopia,Robotics,139,1271
Uruguay,Robotics,84,522
Sudan,Robotics,65,664
Zimbabwe,Robotics,36,106
Africa,Robotics,5671,57939
Vietnam,Robotics,1909,18405
Hungary,Robotics,1249,13661
Kosovo,Robotics,48,291
Azerbaijan,Robotics,79,191
Singapore,Robotics,4763,112234
Greece,Robotics,2387,39353
Lebanon,Robotics,372,5963
United States,Robotics,65993,1463407
Switzerland,Robotics,5159,193773
Portugal,Robotics,3045,44223
Finland,Robotics,1668,33534
Poland,Robotics,3447,31829
Bahrain,Robotics,83,508
Netherlands,Robotics,5292,115107
Egypt,Robotics,1773,20769
Croatia,Robotics,713,8586
Belarus,Robotics,154,361
Cameroon,Robotics,47,450
Global Partnership on Artificial Intelligence,Robotics,223789,3509641
Europe,Robotics,115198,1838979
Norway,Robotics,1882,33831
Kazakhstan,Robotics,588,5903
Guatemala,Robotics,34,382
South and Central America,Robotics,8869,84196
Belgium,Robotics,2792,53288
Pakistan,Robotics,1587,20920
Latvia,Robotics,159,1271
Luxembourg,Robotics,404,4770
Brunei Darussalam,Robotics,54,1070
Czechia,Robotics,1580,23884
Kenya,Robotics,69,547
Iceland,Robotics,69,1439
Trinidad and Tobago,Robotics,17,74
Spain,Robotics,8029,149607
Austria,Robotics,2675,41976
South Africa,Robotics,676,8042
Italy,Robotics,16889,294927
Ecuador,Robotics,775,5309
Angola,AI Safety,1,11
Congo,AI Safety,1,6
Chad,AI Safety,1,0
Somalia,AI Safety,1,22
Belize,AI Safety,1,1
Burkina Faso,AI Safety,1,1
Georgia,AI Safety,1,118
Cape Verde,AI Safety,1,2
Bolivia,AI Safety,1,2
São Tomé and Príncipe,All,1,19
Guinea-Bissau,All,1,40
Palau,All,1,2
Vanuatu,All,1,9
Suriname,All,1,5
Marshall Islands,All,1,8
Kiribati,All,1,9
Tonga,Computer Vision,1,9
Seychelles,Computer Vision,1,0
Kiribati,Computer Vision,1,9
Lesotho,Computer Vision,1,1
Djibouti,Computer Vision,1,20
South Sudan,Computer Vision,1,2
Vanuatu,Computer Vision,1,9
Grenada,Computer Vision,1,2
Bahamas,Computer Vision,1,3
Vatican City,Computer Vision,1,22
Belize,Computer Vision,1,8
Swaziland,Large language models,1,7
Jamaica,Large language models,1,2
Comoros,Large language models,1,1
Paraguay,Large language models,1,2
Burundi,Large language models,1,45
Papua New Guinea,Large language models,1,0
Eritrea,Large language models,1,2
Tajikistan,Large language models,1,7
Benin,Large language models,1,5
Grenada,Large language models,1,0
Sierra Leone,Large language models,1,0
Guinea,Large language models,1,3
El Salvador,Large language models,1,0
Belize,Natural Language Processing,1,1
Chad,Natural Language Processing,1,28
Sierra Leone,Natural Language Processing,1,0
South Sudan,Natural Language Processing,1,0
Guinea,Natural Language Processing,1,3
Haiti,Natural Language Processing,1,84
Vatican City,Natural Language Processing,1,6
Gambia,Natural Language Processing,1,0
Marshall Islands,Natural Language Processing,1,8
Burundi,Robotics,1,16
Bahamas,Robotics,1,4
Gambia,Robotics,1,27
Togo,Robotics,1,89
Angola,Robotics,1,1
Swaziland,Robotics,1,28
Belize,Robotics,1,2
Mauritania,Robotics,1,0
Rwanda,AI Safety,2,6
Kyrgyzstan,AI Safety,2,9
Maldives,AI Safety,2,1
Papua New Guinea,AI Safety,2,1
Barbados,AI Safety,2,9
Swaziland,AI Safety,2,13
Venezuela,AI Safety,2,43
Libya,AI Safety,2,1
Madagascar,AI Safety,2,6
Mongolia,AI Safety,2,0
Cambodia,AI Safety,2,20
Malawi,AI Safety,2,3
Seychelles,All,2,17
Nicaragua,Computer Vision,2,2
Samoa,Computer Vision,2,26
Monaco,Computer Vision,2,99
Dominica,Computer Vision,2,10
Comoros,Computer Vision,2,24
Gabon,Large language models,2,122
Fiji,Large language models,2,37
Somalia,Large language models,2,67
Liechtenstein,Large language models,2,100
Togo,Large language models,2,51
Namibia,Large language models,2,381
Kyrgyzstan,Large language models,2,4
Kosovo,Large language models,2,2
Gabon,Natural Language Processing,2,122
Cape Verde,Natural Language Processing,2,2
Togo,Natural Language Processing,2,51
Guatemala,Natural Language Processing,2,27
Eritrea,Natural Language Processing,2,2
Bahamas,Natural Language Processing,2,23
Grenada,Natural Language Processing,2,70
Comoros,Natural Language Processing,2,25
Nicaragua,Natural Language Processing,2,319
Lesotho,Natural Language Processing,2,0
Swaziland,Natural Language Processing,2,11
Cape Verde,Robotics,2,2
Zambia,Robotics,2,0
Burkina Faso,Robotics,2,3
Mali,Robotics,2,4
Antigua and Barbuda,Robotics,2,2
Bhutan,Robotics,2,16
Niger,Robotics,2,0
San Marino,Robotics,2,1
Malawi,Robotics,2,112
Tonga,Robotics,2,14
Eritrea,Robotics,2,0
Saint Lucia,Robotics,2,6
Moldova,AI Safety,3,14
Saint Lucia,AI Safety,3,7
Sudan,AI Safety,3,1
Kosovo,AI Safety,3,42
Zimbabwe,AI Safety,3,43
Tajikistan,AI Safety,3,10
Saint Vincent and the Grenadines,All,3,4
Guinea,Computer Vision,3,21
Guyana,Computer Vision,3,4
Swaziland,Computer Vision,3,119
Malawi,Large language models,3,224
Angola,Large language models,3,73
Congo,Large language models,3,8
Tajikistan,Natural Language Processing,3,5
Bolivia,Natural Language Processing,3,15
Mauritania,Natural Language Processing,3,9
Gabon,Robotics,3,3
Dominica,Robotics,3,2
Saint Kitts and Nevis,Robotics,3,5
Congo,Robotics,3,4
