country,field,year,estimated_investment,complete
South Korea,Energy and natural resources,2018,1,True
Spain,Energy and natural resources,2016,18,True
Spain,Energy and natural resources,2024,8,True
Australia,Energy and natural resources,2025,8,True
United Kingdom,Energy and natural resources,2024,281,True
Singapore,Energy and natural resources,2020,4,True
Singapore,Energy and natural resources,2023,112,True
Turkey,Energy and natural resources,2017,0,True
Russia,Facial Recognition,2020,8,True
Slovenia,Finance,2018,0,True
Egypt,Finance,2024,7,True
Finland,Finance,2025,8,True
Colombia,Finance,2021,4,True
Lithuania,Finance,2024,100,True
Armenia,Finance,2024,0,True
Mexico,Finance,2024,7,True
Saudi Arabia,Finance,2026,30,False
Côte d'Ivoire,Finance,2022,0,True
Ukraine,Finance,2019,3,True
Burkina Faso,Finance,2023,0,True
Czechia,Finance,2016,1,True
Chile,Finance,2024,3,True
Philippines,Finance,2024,18,True
Finland,Gaming,2017,0,True
Spain,Gaming,2020,4,True
China (mainland),Gaming,2025,42,True
Botswana,General purpose,2024,1,True
Lebanon,General purpose,2019,0,True
Japan,General purpose,2020,521,True
Mauritius,General purpose,2019,75,True
Argentina,General purpose,2019,2,True
Bahrain,General purpose,2020,0,True
Turkey,General purpose,2024,94,True
El Salvador,General purpose,2025,1,True
Finland,General purpose,2017,37,True
Germany,General purpose,2018,1245,True
Switzerland,General purpose,2019,526,True
Ethiopia,General purpose,2023,0,True
Paraguay,General purpose,2021,0,True
Thailand,General purpose,2018,1,True
Taiwan,General purpose,2025,66,True
United Kingdom,General purpose,2022,2894,True
Poland,General purpose,2025,528,True
South Africa,General purpose,2022,170,True
Singapore,General purpose,2018,534,True
Portugal,General purpose,2019,31,True
Egypt,General purpose,2017,0,True
Egypt,General purpose,2023,2,True
France,General purpose,2025,2673,True
Latvia,General purpose,2023,0,True
France,Hardware,2019,216,True
France,Hardware,2021,185,True
Germany,Hardware,2024,907,True
Sweden,Hardware,2021,9281,True
United Kingdom,Hardware,2020,816,True
Ireland,Hardware,2022,11,True
Romania,Healthcare and Life Sciences,2022,1,True
Austria,Healthcare and Life Sciences,2024,9,True
Sweden,Healthcare and Life Sciences,2022,50,True
Czechia,Healthcare and Life Sciences,2017,1,True
United States,Healthcare and Life Sciences,2024,9145,True
Portugal,Healthcare and Life Sciences,2019,3,True
Lithuania,Healthcare and Life Sciences,2023,2,True
Ireland,Healthcare and Life Sciences,2023,24,True
Kazakhstan,Information Technology,2020,1,True
Denmark,Information Technology,2021,118,True
South Africa,Information Technology,2023,6,True
Greece,Information Technology,2025,4,True
Poland,Information Technology,2017,15,True
Iceland,Information Technology,2022,1,True
Japan,Information Technology,2026,1669,False
Canada,Information Technology,2019,383,True
China (mainland),Information Technology,2022,1338,True
Germany,Information Technology,2021,948,True
Israel,Information Technology,2016,108,True
Vietnam,Information Technology,2022,0,True
Mauritius,Information Technology,2019,75,True
Saudi Arabia,Lending and Investments,2024,31,True
South Korea,Lending and Investments,2024,6,True
Brazil,Lending and Investments,2023,25,True
Costa Rica,Lending and Investments,2026,0,False
Germany,Lending and Investments,2021,16,True
Italy,Manufacturing,2023,3,True
Croatia,Manufacturing,2023,0,True
Latvia,Manufacturing,2023,0,True
Israel,Manufacturing,2021,35,True
Luxembourg,Manufacturing,2018,0,True
Canada,Manufacturing,2026,47,False
United States,Media and Entertainment,2017,1257,True
Ukraine,Media and Entertainment,2025,19,True
Australia,Media and Entertainment,2019,36,True
Romania,Media and Entertainment,2020,0,True
Canada,Media and Entertainment,2020,8,True
Russia,Media and Entertainment,2016,1,True
United States,"Military, public safety and government",2018,325,True
Israel,"Military, public safety and government",2024,21,True
Mexico,"Mobile, platforms & Internet services",2021,14,True
Portugal,"Mobile, platforms & Internet services",2021,10,True
Singapore,"Mobile, platforms & Internet services",2022,2397,True
Bangladesh,"Mobile, platforms & Internet services",2024,4,True
Kenya,"Mobile, platforms & Internet services",2025,0,True
Sweden,"Mobile, platforms & Internet services",2017,7,True
United Arab Emirates,"Mobile, platforms & Internet services",2016,0,True
Brazil,"Mobile, platforms & Internet services",2023,513,True
Poland,"Mobile, platforms & Internet services",2017,4,True
Netherlands,"Mobile, platforms & Internet services",2019,17,True
Australia,"Mobile, platforms & Internet services",2020,110,True
Chile,"Mobile, platforms & Internet services",2017,1,True
Ukraine,"Mobile, platforms & Internet services",2020,1,True
Austria,"Mobile, platforms & Internet services",2016,1,True
Czechia,"Mobile, platforms & Internet services",2019,1,True
South Africa,"Mobile, platforms & Internet services",2018,10,True
South Africa,"Mobile, platforms & Internet services",2021,33,True
Russia,"Mobile, platforms & Internet services",2016,3,True
Uruguay,"Mobile, platforms & Internet services",2021,100,True
Japan,"Mobile, platforms & Internet services",2022,54,True
China (mainland),"Mobile, platforms & Internet services",2026,112,False
United Kingdom,NLP,2026,0,False
Spain,NLP,2022,6,True
Australia,NLP,2021,1,True
Czechia,NLP,2018,1,True
Brazil,NLP,2022,286,True
Singapore,NLP,2020,7,True
China (mainland),NLP,2021,96,True
China (mainland),NLP,2025,27,True
Japan,NLP,2020,4,True
Brazil,Navigation and mapping,2021,0,True
Netherlands,Navigation and mapping,2023,13,True
Canada,Navigation and mapping,2020,2,True
Norway,Other,2021,54,True
Mexico,Other,2022,12,True
Argentina,Other,2023,344,True
Italy,Other,2022,2,True
Italy,Other,2025,4,True
Qatar,Other,2024,4,True
Pakistan,Other,2017,0,True
Kenya,Other,2020,0,True
Germany,Other,2020,207,True
Germany,Other,2023,331,True
Israel,Other,2022,188,True
Brazil,Privacy and Security,2016,0,True
Tunisia,Privacy and Security,2020,0,True
Indonesia,Privacy and Security,2024,0,True
Sri Lanka,Privacy and Security,2024,0,True
United States,Privacy and Security,2025,12630,True
India,Privacy and Security,2026,9,False
Denmark,Privacy and Security,2022,1,True
United Kingdom,Privacy and Security,2018,57,True
Egypt,Professional services,2023,0,True
Mexico,Professional services,2016,0,True
Denmark,Professional services,2025,192,True
Serbia,Professional services,2023,0,True
South Africa,Professional services,2025,62,True
France,Professional services,2025,127,True
Netherlands,Professional services,2022,25,True
Chile,Professional services,2021,0,True
Malaysia,Professional services,2018,14,True
Czechia,Real estate,2024,2,True
New Zealand,Real estate,2020,0,True
New Zealand,Real estate,2023,0,True
Switzerland,Real estate,2017,2,True
Chile,Real estate,2019,0,True
Ireland,Real estate,2016,3,True
Japan,Real estate,2025,14,True
Finland,Real estate,2023,2,True
Israel,Real estate,2022,153,True
Brazil,Real estate,2023,1,True
Hungary,Real estate,2022,0,True
Poland,Real estate,2021,21,True
United Arab Emirates,Real estate,2023,5,True
United Kingdom,Robotics,2019,80,True
Spain,Robotics,2020,4,True
Switzerland,Robotics,2019,144,True
Nigeria,"Sales, retail, commerce, marketing",2017,0,True
Slovakia,"Sales, retail, commerce, marketing",2024,5,True
Austria,"Sales, retail, commerce, marketing",2023,1,True
Uruguay,"Sales, retail, commerce, marketing",2024,1,True
United Arab Emirates,"Sales, retail, commerce, marketing",2018,6,True
Egypt,"Sales, retail, commerce, marketing",2023,0,True
United States,"Sales, retail, commerce, marketing",2025,11356,True
Belgium,"Sales, retail, commerce, marketing",2021,23,True
Poland,"Sales, retail, commerce, marketing",2024,4,True
Italy,"Sales, retail, commerce, marketing",2023,1,True
Israel,"Sales, retail, commerce, marketing",2024,529,True
Singapore,"Sales, retail, commerce, marketing",2021,717,True
Turkey,"Sales, retail, commerce, marketing",2022,29,True
South Korea,"Sales, retail, commerce, marketing",2023,248,True
United Kingdom,Semiconductor,2016,4,True
Canada,Semiconductor,2019,23,True
Singapore,Semiconductor,2024,1385,True
France,Semiconductor,2024,4,True
Taiwan,Semiconductor,2018,18,True
Netherlands,Simulation,2025,2,True
United Kingdom,Simulation,2021,1,True
South Korea,Software,2022,1610,True
Egypt,Software,2025,77,True
Netherlands,Software,2026,134,False
Japan,Software,2020,781,True
Australia,Software,2017,51,True
Australia,Software,2026,5324,False
Qatar,Software,2024,5,True
Uzbekistan,Software,2021,0,True
Sri Lanka,Software,2019,1,True
Jordan,Software,2022,1,True
Indonesia,Software,2018,24,True
Indonesia,Software,2019,13,True
India,Software,2020,16987,True
Italy,Software,2025,162,True
Singapore,Software,2018,577,True
Turkey,Software,2018,508,True
Turkey,Software,2023,40,True
Finland,Software,2023,1083,True
Iran,Software,2022,0,True
Germany,Software,2026,754,False
Zimbabwe,Software,2023,0,True
Romania,Speech Recognition,2023,0,True
United States,Speech Recognition,2016,231,True
Israel,Sports,2020,40,True
Austria,Sports,2017,0,True
Japan,Sports,2020,1,True
Ireland,Telecommunications,2021,1,True
Slovakia,Telecommunications,2022,21,True
Switzerland,Telecommunications,2020,2,True
Portugal,Telecommunications,2023,0,True
United States,Telecommunications,2019,3048,True
United Kingdom,Transportation,2021,210,True
Colombia,Transportation,2018,0,True
Italy,Transportation,2017,2,True
Japan,Transportation,2016,5,True
Greece,Transportation,2020,10,True
Israel,Transportation,2023,294,True
South Korea,Transportation,2025,22,True
United States,Transportation,2016,2216,True
South Africa,Transportation,2020,1,True
Spain,Agriculture,2017,1,True
Russia,Agriculture,2019,0,True
Uganda,Agriculture,2022,0,True
Switzerland,Agriculture,2020,1,True
China (mainland),Agriculture,2025,396,True
Saudi Arabia,All,2017,21,True
Saudi Arabia,All,2020,14911,True
South Korea,All,2016,164,True
Zimbabwe,All,2024,1,True
Ghana,All,2023,20,True
Poland,All,2016,19,True
Greece,All,2019,11,True
Egypt,All,2018,0,True
Egypt,All,2025,97,True
Seychelles,All,2023,50,True
Switzerland,All,2021,1050,True
Kenya,All,2024,19,True
Pakistan,All,2026,4,False
Sri Lanka,All,2021,0,True
South Africa,All,2023,78,True
South Africa,All,2025,211,True
Poland,Biotechnology,2022,1,True
Ghana,Biotechnology,2021,1,True
Sri Lanka,Biotechnology,2024,0,True
Israel,Biotechnology,2023,28,True
United States,Biotechnology,2021,6899,True
United Kingdom,Biotechnology,2021,176,True
South Korea,Community and Lifestyle,2022,16,True
Luxembourg,Community and Lifestyle,2018,6,True
Canada,Community and Lifestyle,2020,59,True
Sweden,Community and Lifestyle,2021,10,True
Germany,Community and Lifestyle,2026,1,False
Spain,Community and Lifestyle,2025,1237,True
United States,Community and Lifestyle,2020,2760,True
Switzerland,Computer Vision,2022,35,True
China (mainland),Computer Vision,2018,607,True
France,Computer Vision,2023,93,True
United Kingdom,Computer Vision,2023,158,True
South Korea,Computer Vision,2018,8,True
Australia,Computer Vision,2020,1,True
Austria,Computer Vision,2016,1,True
Romania,Computer Vision,2020,0,True
Japan,Computer Vision,2018,3,True
Bulgaria,Computer Vision,2019,0,True
Bulgaria,Computer Vision,2021,0,True
Hungary,Consumer goods,2018,0,True
Hungary,Consumer goods,2021,1,True
Latvia,Consumer goods,2016,0,True
Estonia,Consumer goods,2019,0,True
Spain,Consumer goods,2022,1,True
Russia,Consumer goods,2019,1,True
United States,Consumer goods,2016,1102,True
South Korea,Consumer goods,2021,11,True
Italy,Consumer goods,2019,1,True
South Africa,Consumer goods,2020,14,True
United Kingdom,Consumer goods,2020,503,True
United Kingdom,Consumer goods,2023,64,True
Ireland,Cyber Security,2017,0,True
Norway,Cyber Security,2025,4,True
Bangladesh,Cyber Security,2025,0,True
Israel,Cyber Security,2020,88,True
Canada,Cyber Security,2017,26,True
India,Cyber Security,2019,0,True
Armenia,Data and analytics,2023,3,True
Bangladesh,Data and analytics,2019,0,True
Latvia,Data and analytics,2021,1,True
Lebanon,Data and analytics,2022,0,True
Chile,Data and analytics,2018,78,True
Pakistan,Data and analytics,2024,3,True
Israel,Data and analytics,2021,3391,True
Thailand,Data and analytics,2022,47,True
Denmark,Data and analytics,2016,11,True
Ecuador,Data and analytics,2026,3,False
Portugal,Data and analytics,2017,159,True
United States,Data and analytics,2017,15432,True
Mexico,Data and analytics,2017,17,True
Spain,Data and analytics,2016,112,True
China (mainland),Data and analytics,2025,9250,True
Taiwan,Data and analytics,2016,14,True
Brazil,Data and analytics,2016,11,True
Zimbabwe,Data and analytics,2025,0,True
Chile,Education,2019,0,True
Austria,Education,2016,0,True
Kenya,Education,2020,1,True
United Arab Emirates,Education,2022,1,True
Norway,Education,2022,3,True
Ghana,Energy and natural resources,2022,0,True
Poland,Energy and natural resources,2025,21,True
India,Energy and natural resources,2016,1,True
India,Energy and natural resources,2021,13,True
Czechia,Energy and natural resources,2020,1,True
Luxembourg,Energy and natural resources,2022,4,True
France,Facial Recognition,2018,0,True
Uruguay,Finance,2023,0,True
Turkey,Finance,2022,10,True
United States,Finance,2024,8524,True
China (mainland),Finance,2017,146,True
Cyprus,Finance,2022,1,True
Mauritius,Finance,2022,21,True
Spain,Finance,2017,59,True
Spain,Finance,2023,243,True
Spain,Finance,2025,223,True
Denmark,Finance,2021,0,True
New Zealand,Finance,2020,2,True
Sweden,Finance,2023,12,True
Sweden,Finance,2025,1169,True
Luxembourg,Finance,2018,1,True
Chile,Finance,2023,0,True
Canada,Finance,2024,95,True
Canada,Finance,2025,265,True
Hungary,Gaming,2019,0,True
Poland,Gaming,2017,0,True
Cyprus,Gaming,2021,17,True
Australia,Gaming,2023,0,True
South Korea,Gaming,2023,3,True
Spain,Gaming,2019,0,True
Chile,General purpose,2021,34,True
Greece,General purpose,2023,330,True
Australia,General purpose,2021,1967,True
Philippines,General purpose,2023,1,True
Finland,General purpose,2022,1649,True
Ecuador,General purpose,2026,3,False
Israel,General purpose,2024,4657,True
Spain,General purpose,2025,6667,True
Malaysia,General purpose,2025,302,True
Czechia,General purpose,2025,456,True
Belgium,General purpose,2019,155,True
Uganda,General purpose,2019,0,True
Uganda,General purpose,2023,0,True
United Arab Emirates,General purpose,2024,2101,True
Peru,General purpose,2021,1,True
Luxembourg,General purpose,2024,20,True
Armenia,General purpose,2023,3,True
Denmark,General purpose,2017,35,True
Denmark,General purpose,2020,129,True
Russia,General purpose,2022,1,True
Iceland,Hardware,2025,1,True
Estonia,Hardware,2016,0,True
Australia,Hardware,2017,5,True
Belgium,Hardware,2021,1,True
Germany,Hardware,2026,69,False
United Kingdom,Hardware,2022,484,True
Indonesia,Hardware,2022,9,True
Japan,Hardware,2025,119,True
United Arab Emirates,Hardware,2025,281,True
Hungary,Hardware,2017,0,True
Ireland,Hardware,2021,54,True
Ireland,Hardware,2024,159,True
Chile,Healthcare and Life Sciences,2017,3,True
Austria,Healthcare and Life Sciences,2017,2,True
Italy,Healthcare and Life Sciences,2023,4,True
Australia,Healthcare and Life Sciences,2025,73,True
Brazil,Healthcare and Life Sciences,2024,11,True
Egypt,Healthcare and Life Sciences,2023,0,True
Morocco,Healthcare and Life Sciences,2022,0,True
Vietnam,Healthcare and Life Sciences,2024,2,True
Belgium,Healthcare and Life Sciences,2016,0,True
Belgium,Healthcare and Life Sciences,2025,25,True
Canada,Healthcare and Life Sciences,2017,42,True
China (mainland),Healthcare and Life Sciences,2022,606,True
China (mainland),Healthcare and Life Sciences,2025,566,True
Taiwan,Information Technology,2021,61,True
Denmark,Information Technology,2019,12,True
Malaysia,Information Technology,2016,2,True
Kuwait,Information Technology,2025,7,True
Dominican Republic,Information Technology,2024,0,True
Hungary,Information Technology,2023,4,True
Portugal,Information Technology,2016,2,True
Indonesia,Information Technology,2019,5,True
Indonesia,Information Technology,2022,36,True
Indonesia,Information Technology,2024,16,True
Netherlands,Information Technology,2021,447,True
South Korea,Lending and Investments,2018,1,True
Sweden,Lending and Investments,2017,1,True
Spain,Lending and Investments,2022,0,True
Seychelles,Lending and Investments,2021,1,True
Japan,Lending and Investments,2020,56,True
Nigeria,Lending and Investments,2023,1,True
Italy,Manufacturing,2016,0,True
Finland,Manufacturing,2025,326,True
Belgium,Manufacturing,2025,0,True
Saudi Arabia,Manufacturing,2023,1,True
South Korea,Manufacturing,2017,3,True
Singapore,Media and Entertainment,2018,153,True
Spain,Media and Entertainment,2024,186,True
Romania,Media and Entertainment,2025,1,True
Indonesia,Media and Entertainment,2024,0,True
South Korea,Media and Entertainment,2016,23,True
Austria,Media and Entertainment,2016,2,True
Germany,Media and Entertainment,2020,15,True
Germany,Media and Entertainment,2024,195,True
Portugal,Media and Entertainment,2019,6,True
Netherlands,"Military, public safety and government",2026,29,False
Honduras,"Mobile, platforms & Internet services",2024,0,True
Kenya,"Mobile, platforms & Internet services",2016,2,True
United Kingdom,"Mobile, platforms & Internet services",2019,447,True
Greece,"Mobile, platforms & Internet services",2018,1,True
Brazil,"Mobile, platforms & Internet services",2022,108,True
Netherlands,"Mobile, platforms & Internet services",2023,332,True
Australia,"Mobile, platforms & Internet services",2026,5179,False
Hungary,"Mobile, platforms & Internet services",2019,2,True
Turkey,"Mobile, platforms & Internet services",2016,9,True
Romania,"Mobile, platforms & Internet services",2021,7,True
Saudi Arabia,"Mobile, platforms & Internet services",2025,314,True
United States,"Mobile, platforms & Internet services",2020,11317,True
Chile,"Mobile, platforms & Internet services",2016,0,True
Albania,"Mobile, platforms & Internet services",2020,5,True
India,"Mobile, platforms & Internet services",2025,350,True
Japan,"Mobile, platforms & Internet services",2026,11,False
Sweden,NLP,2023,0,True
Denmark,NLP,2016,2,True
United Kingdom,NLP,2019,76,True
Australia,NLP,2023,0,True
Japan,NLP,2023,2,True
Belgium,Navigation and mapping,2021,0,True
South Korea,Navigation and mapping,2019,2,True
Ireland,Navigation and mapping,2021,1,True
Malaysia,Other,2020,2,True
Malaysia,Other,2024,4,True
Portugal,Other,2020,1,True
United Arab Emirates,Other,2021,4,True
India,Other,2020,21,True
Zimbabwe,Other,2023,0,True
Estonia,Other,2024,1,True
Brazil,Other,2019,229,True
Sweden,Other,2017,1,True
Czechia,Other,2017,0,True
Finland,Other,2026,3,False
Netherlands,Privacy and Security,2025,40,True
France,Privacy and Security,2016,1,True
France,Privacy and Security,2025,92,True
Brazil,Privacy and Security,2022,55,True
South Africa,Privacy and Security,2024,52,True
Canada,Privacy and Security,2022,248,True
Argentina,Privacy and Security,2016,0,True
Spain,Privacy and Security,2016,7,True
Norway,Privacy and Security,2022,0,True
New Zealand,Privacy and Security,2018,3,True
United States,Privacy and Security,2022,3215,True
Italy,Professional services,2026,7,False
Egypt,Professional services,2021,0,True
Uruguay,Professional services,2021,100,True
Belgium,Professional services,2025,139,True
Sweden,Professional services,2024,44,True
China (mainland),Professional services,2025,129,True
Vietnam,Professional services,2024,0,True
Brazil,Professional services,2024,83,True
Finland,Professional services,2021,501,True
Spain,Professional services,2020,4,True
Singapore,Professional services,2019,1460,True
Czechia,Professional services,2022,36,True
Australia,Real estate,2020,15,True
Brazil,Real estate,2020,6,True
United Arab Emirates,Real estate,2016,0,True
Croatia,Robotics,2019,0,True
India,Robotics,2025,23,True
United Kingdom,Robotics,2021,17,True
United Kingdom,Robotics,2022,77,True
Switzerland,Robotics,2024,152,True
Australia,"Sales, retail, commerce, marketing",2016,26,True
Nigeria,"Sales, retail, commerce, marketing",2018,5,True
Mexico,"Sales, retail, commerce, marketing",2023,24,True
Vietnam,"Sales, retail, commerce, marketing",2022,0,True
Ireland,"Sales, retail, commerce, marketing",2021,116,True
Uruguay,"Sales, retail, commerce, marketing",2020,2,True
Romania,"Sales, retail, commerce, marketing",2022,0,True
North Macedonia,"Sales, retail, commerce, marketing",2024,0,True
Taiwan,"Sales, retail, commerce, marketing",2022,16,True
Serbia,"Sales, retail, commerce, marketing",2019,0,True
United Kingdom,"Sales, retail, commerce, marketing",2023,315,True
Brazil,"Sales, retail, commerce, marketing",2019,19,True
Canada,"Sales, retail, commerce, marketing",2026,7,False
Luxembourg,"Sales, retail, commerce, marketing",2025,1,True
Israel,"Sales, retail, commerce, marketing",2025,291,True
China (mainland),Semiconductor,2026,76,False
United States,Semiconductor,2023,779,True
United States,Semiconductor,2026,399,False
Egypt,Software,2021,8,True
Israel,Software,2023,1339,True
China (mainland),Software,2018,3931,True
Canada,Software,2020,1279,True
Denmark,Software,2024,589,True
Kuwait,Software,2025,8,True
South Africa,Software,2020,90,True
Ghana,Software,2021,1,True
Qatar,Software,2023,2,True
Mauritius,Software,2021,23,True
Tanzania,Software,2017,0,True
Seychelles,Software,2021,1,True
Sweden,Software,2024,112,True
Italy,Software,2016,14,True
Cyprus,Software,2019,3,True
Switzerland,Software,2021,552,True
China (mainland),Speech Recognition,2016,51,True
Netherlands,Sports,2023,4,True
Czechia,Sports,2020,1,True
Kenya,Sports,2016,2,True
Kenya,Telecommunications,2024,0,True
Slovakia,Telecommunications,2020,0,True
South Korea,Telecommunications,2016,23,True
Australia,Transportation,2026,10,False
Lebanon,Transportation,2019,0,True
Belgium,Transportation,2019,0,True
Sweden,Transportation,2022,3766,True
Malaysia,Transportation,2016,3,True
Jordan,Transportation,2026,0,False
Norway,Transportation,2019,4,True
Switzerland,Transportation,2016,19,True
United Arab Emirates,Transportation,2024,54,True
Singapore,Transportation,2021,105,True
India,Transportation,2019,23,True
Israel,Transportation,2020,114,True
Canada,Transportation,2024,71,True
Belgium,Agriculture,2025,1,True
Paraguay,Agriculture,2024,0,True
Brazil,Agriculture,2021,3,True
Japan,Agriculture,2022,1,True
Tunisia,Agriculture,2019,0,True
Switzerland,Agriculture,2017,5,True
United States,Agriculture,2023,702,True
United Kingdom,Agriculture,2022,39,True
Germany,Agriculture,2017,2,True
Burkina Faso,All,2023,0,True
Argentina,All,2019,2,True
Germany,All,2025,25401,True
Ukraine,All,2021,39,True
Austria,All,2017,16,True
Norway,All,2018,73,True
Norway,All,2019,127,True
Norway,All,2021,468,True
Taiwan,All,2022,441,True
Sweden,All,2017,384,True
Vietnam,All,2018,0,True
Czechia,All,2021,163,True
Philippines,All,2018,3,True
New Zealand,All,2019,225,True
New Zealand,All,2024,165,True
Turkey,All,2022,62,True
Colombia,All,2022,101,True
Mexico,All,2016,18,True
Australia,All,2021,3244,True
Mongolia,All,2019,0,True
Sweden,Biotechnology,2022,3,True
Austria,Biotechnology,2024,7,True
Hungary,Biotechnology,2021,1,True
Slovenia,Biotechnology,2016,0,True
Russia,Biotechnology,2019,1,True
Greece,Community and Lifestyle,2024,0,True
Egypt,Community and Lifestyle,2017,0,True
South Africa,Community and Lifestyle,2024,0,True
Ireland,Community and Lifestyle,2016,5,True
Portugal,Community and Lifestyle,2019,1,True
Denmark,Community and Lifestyle,2025,2,True
Germany,Community and Lifestyle,2022,167,True
Chile,Community and Lifestyle,2020,9,True
United Kingdom,Computer Vision,2017,12,True
United Kingdom,Computer Vision,2024,176,True
Israel,Computer Vision,2025,10,True
Brazil,Computer Vision,2016,0,True
Cyprus,Computer Vision,2021,1,True
Norway,Computer Vision,2024,1,True
Spain,Computer Vision,2023,18,True
Taiwan,Consumer goods,2025,13,True
Chile,Consumer goods,2018,71,True
Germany,Consumer goods,2023,386,True
Singapore,Consumer goods,2025,6,True
Armenia,Consumer goods,2021,0,True
Brazil,Consumer goods,2017,3,True
New Zealand,Consumer goods,2023,0,True
Denmark,Consumer goods,2022,90,True
Israel,Cyber Security,2017,9,True
Estonia,Cyber Security,2020,3,True
Italy,Cyber Security,2018,2,True
South Africa,Data and analytics,2019,155,True
Belarus,Data and analytics,2020,1,True
United Kingdom,Data and analytics,2017,567,True
Italy,Data and analytics,2025,152,True
Germany,Data and analytics,2021,1979,True
South Korea,Data and analytics,2022,1569,True
Portugal,Data and analytics,2019,29,True
United States,Data and analytics,2018,35299,True
Greece,Data and analytics,2025,105,True
Mexico,Data and analytics,2022,102,True
Estonia,Data and analytics,2021,56,True
Peru,Data and analytics,2018,0,True
Turkey,Data and analytics,2018,5,True
Turkey,Data and analytics,2020,5,True
Tunisia,Data and analytics,2021,0,True
Tunisia,Data and analytics,2022,2,True
China (mainland),Data and analytics,2022,4958,True
China (mainland),Data and analytics,2024,7834,True
Luxembourg,Data and analytics,2020,7,True
Singapore,Data and analytics,2020,599,True
Brazil,Data and analytics,2017,118,True
Romania,Data and analytics,2021,26,True
Romania,Data and analytics,2024,5,True
Hungary,Data and analytics,2021,7,True
Zimbabwe,Data and analytics,2019,0,True
Chile,Education,2023,0,True
Japan,Education,2021,126,True
Germany,Education,2024,431,True
Canada,Education,2016,8,True
Netherlands,Energy and natural resources,2016,3,True
South Korea,Energy and natural resources,2021,5,True
Austria,Energy and natural resources,2018,2,True
Israel,Energy and natural resources,2022,184,True
New Zealand,Energy and natural resources,2022,0,True
France,Facial Recognition,2024,0,True
Brazil,Facial Recognition,2021,20,True
Indonesia,Finance,2022,8,True
Qatar,Finance,2021,4,True
Spain,Finance,2026,35,False
New Zealand,Finance,2019,1,True
Thailand,Finance,2016,0,True
Thailand,Finance,2024,1,True
Brazil,Finance,2017,3,True
South Korea,Finance,2025,30,True
Poland,Finance,2022,22,True
Germany,Gaming,2023,3,True
Italy,Gaming,2025,0,True
India,Gaming,2020,0,True
Turkey,Gaming,2021,0,True
Georgia,General purpose,2024,0,True
Austria,General purpose,2019,108,True
Ireland,General purpose,2025,303,True
Mexico,General purpose,2017,13,True
Argentina,General purpose,2023,352,True
China (mainland),General purpose,2020,4985,True
Netherlands,General purpose,2023,768,True
Switzerland,General purpose,2016,26,True
New Zealand,General purpose,2024,107,True
Bulgaria,General purpose,2018,13,True
