country,field,year,disclosed_investment,complete
Sri Lanka,Agriculture,2020,0,True
Greece,All,2022,113,True
Austria,All,2022,83,True
Dominican Republic,All,2024,0,True
Peru,All,2022,0,True
Egypt,All,2021,35,True
North Macedonia,All,2022,1,True
Kazakhstan,All,2022,3,True
Slovenia,All,2019,0,True
United Kingdom,All,2022,5103,True
United Kingdom,All,2023,3920,True
South Africa,All,2017,73,True
Cyprus,All,2023,1,True
Spain,All,2026,112,False
Sweden,Biotechnology,2024,0,True
Denmark,Biotechnology,2020,2,True
Austria,Biotechnology,2017,0,True
Israel,Biotechnology,2021,5,True
Canada,Biotechnology,2021,31,True
United States,Biotechnology,2020,592,True
United States,Biotechnology,2022,1496,True
Ireland,Community and Lifestyle,2017,1,True
Ireland,Community and Lifestyle,2021,49,True
Ireland,Community and Lifestyle,2022,100,True
Japan,Community and Lifestyle,2020,8,True
Chile,Community and Lifestyle,2017,1,True
Nigeria,Community and Lifestyle,2019,0,True
Estonia,Computer Vision,2023,1,True
Japan,Computer Vision,2020,3,True
Denmark,Computer Vision,2020,0,True
Germany,Computer Vision,2021,8,True
Belgium,Computer Vision,2024,14,True
China (mainland),Computer Vision,2022,101,True
Netherlands,Computer Vision,2018,2,True
Hungary,Computer Vision,2016,2,True
Malaysia,Computer Vision,2021,20,True
Italy,Computer Vision,2020,0,True
Japan,Consumer goods,2018,8,True
South Korea,Consumer goods,2024,44,True
Singapore,Consumer goods,2016,0,True
Ireland,Consumer goods,2017,1,True
Switzerland,Consumer goods,2016,1,True
Israel,Consumer goods,2026,6,False
Denmark,Consumer goods,2019,1,True
United Kingdom,Consumer goods,2018,41,True
Greece,Consumer goods,2021,0,True
United States,Cyber Security,2026,49,False
Germany,Cyber Security,2017,0,True
Norway,Cyber Security,2025,2,True
Switzerland,Data and analytics,2016,4,True
Czechia,Data and analytics,2023,17,True
Saudi Arabia,Data and analytics,2017,14,True
Belgium,Data and analytics,2018,15,True
Belize,Data and analytics,2019,0,True
Tunisia,Data and analytics,2019,0,True
India,Data and analytics,2025,1768,True
Croatia,Data and analytics,2020,1,True
Germany,Data and analytics,2026,200,False
Greece,Data and analytics,2016,6,True
Mexico,Data and analytics,2023,75,True
Mexico,Data and analytics,2026,25,False
Uruguay,Data and analytics,2022,3,True
Sri Lanka,Data and analytics,2021,0,True
Hungary,Data and analytics,2023,18,True
Mongolia,Data and analytics,2021,0,True
China (mainland),Education,2019,39,True
Mexico,Education,2021,0,True
Denmark,Education,2016,2,True
United Arab Emirates,Education,2022,1,True
Sri Lanka,Energy and natural resources,2025,0,True
Australia,Energy and natural resources,2022,15,True
Norway,Finance,2022,3,True
Indonesia,Finance,2024,6,True
India,Finance,2017,13,True
Denmark,Finance,2024,2,True
Uruguay,Finance,2023,0,True
Thailand,Finance,2019,0,True
Qatar,Finance,2021,4,True
Czechia,Finance,2024,0,True
Austria,Finance,2023,13,True
Vietnam,Finance,2018,0,True
Japan,Finance,2018,22,True
Switzerland,Gaming,2022,0,True
Czechia,Gaming,2022,2,True
Chile,General purpose,2017,1,True
Mexico,General purpose,2025,15,True
Argentina,General purpose,2020,2,True
Argentina,General purpose,2021,3,True
Russia,General purpose,2023,1,True
Vietnam,General purpose,2022,3,True
Israel,General purpose,2017,187,True
Spain,General purpose,2026,12,False
Cyprus,General purpose,2022,1,True
Qatar,General purpose,2020,0,True
Tajikistan,General purpose,2022,0,True
Taiwan,General purpose,2026,4,False
France,General purpose,2024,797,True
Canada,General purpose,2020,521,True
Zimbabwe,General purpose,2023,0,True
Australia,Hardware,2026,5078,False
New Zealand,Hardware,2026,1,False
Hungary,Hardware,2021,3,True
Mexico,Hardware,2024,2,True
Mexico,Hardware,2025,55,True
Ukraine,Hardware,2021,0,True
United Kingdom,Hardware,2016,227,True
Turkey,Hardware,2023,9,True
France,Hardware,2024,329,True
Croatia,Hardware,2021,2,True
Canada,Hardware,2016,21,True
Finland,Hardware,2018,1,True
Bulgaria,Hardware,2019,0,True
Singapore,Healthcare and Life Sciences,2024,1,True
Portugal,Healthcare and Life Sciences,2018,0,True
Spain,Healthcare and Life Sciences,2024,21,True
Belgium,Healthcare and Life Sciences,2018,0,True
Belgium,Healthcare and Life Sciences,2021,2,True
Argentina,Healthcare and Life Sciences,2024,1,True
Croatia,Healthcare and Life Sciences,2020,0,True
Romania,Healthcare and Life Sciences,2022,0,True
Egypt,Healthcare and Life Sciences,2023,0,True
Germany,Information Technology,2016,7,True
Switzerland,Information Technology,2024,62,True
United Arab Emirates,Information Technology,2020,2,True
Dominican Republic,Information Technology,2024,0,True
Israel,Information Technology,2017,52,True
Denmark,Information Technology,2017,0,True
France,Information Technology,2023,130,True
Nigeria,Information Technology,2023,1,True
Ireland,Information Technology,2017,10,True
India,Information Technology,2017,8,True
Germany,Lending and Investments,2016,22,True
Philippines,Lending and Investments,2021,1,True
Estonia,Manufacturing,2020,3,True
Lithuania,Manufacturing,2025,0,True
Cyprus,Manufacturing,2021,2,True
Sweden,Manufacturing,2016,0,True
Belgium,Manufacturing,2021,185,True
Austria,Media and Entertainment,2021,16,True
Argentina,Media and Entertainment,2016,0,True
Romania,Media and Entertainment,2025,1,True
Poland,Media and Entertainment,2021,0,True
Italy,Media and Entertainment,2020,1,True
Italy,Media and Entertainment,2023,0,True
United Kingdom,Media and Entertainment,2026,2,False
Bangladesh,Media and Entertainment,2025,0,True
Saudi Arabia,Media and Entertainment,2017,10,True
Nigeria,Media and Entertainment,2018,5,True
Turkey,Media and Entertainment,2021,0,True
Ireland,Media and Entertainment,2023,14,True
Lebanon,Media and Entertainment,2016,0,True
Romania,"Military, public safety and government",2025,3,True
Iceland,"Military, public safety and government",2019,0,True
India,"Military, public safety and government",2021,0,True
Switzerland,"Military, public safety and government",2019,8,True
Switzerland,"Military, public safety and government",2021,1,True
Bangladesh,"Mobile, platforms & Internet services",2022,1,True
United States,"Mobile, platforms & Internet services",2016,2481,True
Belgium,"Mobile, platforms & Internet services",2025,6,True
Panama,"Mobile, platforms & Internet services",2024,0,True
Japan,"Mobile, platforms & Internet services",2018,75,True
Ireland,"Mobile, platforms & Internet services",2016,3,True
France,"Mobile, platforms & Internet services",2024,167,True
China (mainland),"Mobile, platforms & Internet services",2021,626,True
China (mainland),"Mobile, platforms & Internet services",2023,290,True
Slovakia,"Mobile, platforms & Internet services",2021,4,True
Serbia,"Mobile, platforms & Internet services",2018,0,True
Lithuania,"Mobile, platforms & Internet services",2025,0,True
Italy,NLP,2020,0,True
Turkey,NLP,2021,0,True
South Korea,Navigation and mapping,2018,1,True
United Kingdom,Navigation and mapping,2017,3,True
Netherlands,Navigation and mapping,2017,1,True
India,Navigation and mapping,2019,0,True
Sweden,Navigation and mapping,2021,3,True
Poland,Other,2021,2,True
United Arab Emirates,Other,2022,13,True
Iran,Other,2020,0,True
South Korea,Other,2024,22,True
Cyprus,Other,2021,17,True
Belize,Other,2022,20,True
Sri Lanka,Other,2025,0,True
Portugal,Privacy and Security,2023,0,True
Nigeria,Privacy and Security,2020,1,True
India,Privacy and Security,2017,2,True
Serbia,Professional services,2019,0,True
Canada,Professional services,2017,33,True
United States,Professional services,2024,1979,True
United Arab Emirates,Professional services,2017,1,True
Poland,Professional services,2022,0,True
Romania,Professional services,2019,1,True
Israel,Professional services,2022,49,True
China (mainland),Professional services,2020,59,True
Spain,Professional services,2017,15,True
South Korea,Professional services,2023,50,True
Australia,Real estate,2020,8,True
Japan,Real estate,2022,1,True
Lithuania,Real estate,2024,0,True
Estonia,Real estate,2020,4,True
Germany,Robotics,2021,34,True
Canada,Robotics,2018,9,True
United Kingdom,Robotics,2022,25,True
Qatar,"Sales, retail, commerce, marketing",2021,4,True
Colombia,"Sales, retail, commerce, marketing",2023,0,True
Portugal,"Sales, retail, commerce, marketing",2019,7,True
Canada,"Sales, retail, commerce, marketing",2026,7,False
Brazil,"Sales, retail, commerce, marketing",2018,5,True
Denmark,"Sales, retail, commerce, marketing",2022,4,True
India,"Sales, retail, commerce, marketing",2020,23,True
Vietnam,"Sales, retail, commerce, marketing",2023,0,True
Belgium,"Sales, retail, commerce, marketing",2025,3,True
Mexico,"Sales, retail, commerce, marketing",2022,2,True
Switzerland,"Sales, retail, commerce, marketing",2025,5,True
Bulgaria,"Sales, retail, commerce, marketing",2018,0,True
Chile,"Sales, retail, commerce, marketing",2025,3,True
Russia,"Sales, retail, commerce, marketing",2018,1,True
Germany,"Sales, retail, commerce, marketing",2021,55,True
Netherlands,Semiconductor,2022,16,True
Netherlands,Semiconductor,2024,14,True
Japan,Semiconductor,2019,4,True
Japan,Simulation,2023,0,True
United Kingdom,Simulation,2024,7,True
India,Simulation,2022,165,True
Saudi Arabia,Software,2023,1202,True
Indonesia,Software,2019,3,True
Serbia,Software,2024,2,True
South Korea,Software,2018,58,True
Ireland,Software,2022,150,True
Ukraine,Software,2022,0,True
Jordan,Software,2023,0,True
Canada,Software,2025,3843,True
Malaysia,Software,2016,0,True
Malaysia,Software,2020,7,True
Thailand,Software,2025,0,True
Chile,Software,2024,6,True
Austria,Software,2026,13,False
Finland,Software,2021,82,True
United States,Speech Recognition,2021,104,True
United States,Speech Recognition,2024,141,True
United Kingdom,Speech Recognition,2025,1,True
Netherlands,Speech Recognition,2019,1,True
Thailand,Speech Recognition,2022,0,True
Netherlands,Sports,2023,1,True
Germany,Sports,2022,7,True
Bulgaria,Sports,2021,0,True
South Korea,Telecommunications,2024,2,True
United Kingdom,Telecommunications,2025,7,True
United States,Telecommunications,2017,49,True
Netherlands,Transportation,2016,1,True
Colombia,Transportation,2019,0,True
Sweden,Transportation,2017,1,True
Australia,Transportation,2021,13,True
Greece,Transportation,2021,1,True
India,Transportation,2017,3,True
China (mainland),Agriculture,2021,45,True
Sweden,Agriculture,2022,5,True
United States,All,2026,85164,False
Malaysia,All,2016,0,True
Sri Lanka,All,2025,5,True
Italy,All,2021,95,True
Singapore,All,2016,88,True
Australia,All,2025,1276,True
Bolivia,All,2026,0,False
Egypt,All,2020,1,True
Ireland,All,2019,140,True
Nigeria,All,2019,13,True
Burkina Faso,All,2023,0,True
Germany,All,2021,3428,True
South Korea,All,2021,3189,True
South Korea,All,2023,1641,True
Ghana,All,2018,1,True
Denmark,All,2022,132,True
Qatar,All,2023,2,True
South Africa,All,2016,1,True
Poland,All,2019,26,True
Spain,All,2022,634,True
Argentina,All,2019,2,True
Indonesia,All,2019,11,True
Singapore,Biotechnology,2019,2,True
Switzerland,Biotechnology,2022,5,True
Austria,Biotechnology,2020,3,True
Japan,Biotechnology,2024,27,True
Spain,Biotechnology,2023,29,True
Spain,Community and Lifestyle,2016,2,True
Spain,Community and Lifestyle,2023,25,True
Netherlands,Community and Lifestyle,2018,1,True
Italy,Community and Lifestyle,2024,1,True
Kenya,Community and Lifestyle,2025,0,True
Germany,Computer Vision,2017,2,True
Portugal,Computer Vision,2025,2,True
Switzerland,Computer Vision,2020,30,True
South Korea,Consumer goods,2025,16,True
Israel,Consumer goods,2017,54,True
Netherlands,Consumer goods,2025,2,True
Australia,Consumer goods,2022,19,True
United Kingdom,Consumer goods,2016,5,True
Norway,Consumer goods,2017,12,True
Norway,Consumer goods,2023,0,True
Brazil,Consumer goods,2024,0,True
Belgium,Consumer goods,2022,1,True
Netherlands,Cyber Security,2019,88,True
United Kingdom,Cyber Security,2025,3,True
Turkey,Cyber Security,2024,15,True
Germany,Cyber Security,2019,4,True
Malaysia,Data and analytics,2025,60,True
Romania,Data and analytics,2022,5,True
Estonia,Data and analytics,2024,19,True
Lithuania,Data and analytics,2018,1,True
Qatar,Data and analytics,2020,0,True
Finland,Data and analytics,2019,241,True
Jordan,Data and analytics,2022,0,True
South Korea,Data and analytics,2026,13,False
Luxembourg,Data and analytics,2020,4,True
South Africa,Data and analytics,2022,110,True
Austria,Data and analytics,2026,13,False
Lebanon,Education,2017,0,True
Lebanon,Education,2023,0,True
Germany,Education,2021,22,True
India,Education,2019,15,True
Colombia,Education,2023,0,True
United Kingdom,Education,2026,1,False
Sweden,Education,2016,1,True
Sweden,Education,2017,3,True
Sweden,Education,2025,1,True
South Africa,Energy and natural resources,2025,0,True
Spain,Energy and natural resources,2019,5,True
Zimbabwe,Energy and natural resources,2023,0,True
United Kingdom,Energy and natural resources,2020,13,True
Russia,Energy and natural resources,2017,2,True
Germany,Energy and natural resources,2018,6,True
Israel,Energy and natural resources,2021,13,True
Israel,Energy and natural resources,2024,9,True
Ireland,Energy and natural resources,2021,1,True
France,Finance,2025,19,True
Turkey,Finance,2024,5,True
United States,Finance,2021,6931,True
United States,Finance,2026,192,False
United Kingdom,Finance,2020,374,True
Ghana,Finance,2021,0,True
Cyprus,Finance,2024,32,True
China (mainland),Finance,2026,29,False
Saudi Arabia,Finance,2022,136,True
Saudi Arabia,Finance,2024,20,True
Japan,Finance,2020,84,True
Canada,Gaming,2021,4,True
Norway,Gaming,2018,0,True
Mexico,General purpose,2021,9,True
Denmark,General purpose,2026,1,False
Spain,General purpose,2022,385,True
Malaysia,General purpose,2021,145,True
China (mainland),General purpose,2023,1894,True
United Kingdom,General purpose,2024,1561,True
Qatar,General purpose,2024,0,True
Lebanon,General purpose,2017,1,True
Finland,General purpose,2026,6,False
France,General purpose,2018,175,True
Latvia,General purpose,2016,0,True
Jordan,General purpose,2018,0,True
Colombia,General purpose,2021,7,True
Switzerland,General purpose,2018,55,True
Taiwan,Hardware,2022,16,True
Japan,Hardware,2020,47,True
Norway,Hardware,2019,14,True
Norway,Hardware,2021,49,True
Germany,Hardware,2017,4,True
Slovakia,Hardware,2020,1,True
Czechia,Hardware,2020,2,True
Sweden,Hardware,2019,12,True
Bahrain,Hardware,2024,0,True
Romania,Hardware,2024,1,True
Lithuania,Hardware,2020,0,True
Saudi Arabia,Hardware,2018,0,True
Canada,Hardware,2017,43,True
Canada,Hardware,2019,120,True
Netherlands,Hardware,2020,28,True
Chile,Hardware,2021,1,True
Singapore,Healthcare and Life Sciences,2020,21,True
Saudi Arabia,Healthcare and Life Sciences,2021,2,True
Saudi Arabia,Healthcare and Life Sciences,2025,11,True
Nigeria,Healthcare and Life Sciences,2025,0,True
Cyprus,Healthcare and Life Sciences,2020,2,True
Slovenia,Healthcare and Life Sciences,2023,20,True
South Africa,Healthcare and Life Sciences,2025,0,True
United Arab Emirates,Healthcare and Life Sciences,2025,3,True
Qatar,Healthcare and Life Sciences,2023,0,True
Austria,Healthcare and Life Sciences,2019,9,True
Israel,Healthcare and Life Sciences,2019,61,True
Qatar,Information Technology,2022,0,True
Qatar,Information Technology,2023,0,True
South Africa,Information Technology,2023,1,True
Slovakia,Information Technology,2019,3,True
Switzerland,Information Technology,2016,2,True
Pakistan,Information Technology,2019,0,True
Belgium,Information Technology,2017,67,True
Tunisia,Information Technology,2022,1,True
Finland,Information Technology,2025,408,True
Malaysia,Information Technology,2023,5,True
Hungary,Information Technology,2024,1,True
Hungary,Information Technology,2025,1,True
Taiwan,Information Technology,2024,29,True
China (mainland),Lending and Investments,2023,0,True
United Kingdom,Lending and Investments,2018,108,True
Saudi Arabia,Lending and Investments,2022,1,True
New Zealand,Manufacturing,2021,1,True
Australia,Manufacturing,2023,21,True
Netherlands,Manufacturing,2022,5,True
Switzerland,Manufacturing,2025,56,True
Czechia,Manufacturing,2024,1,True
Norway,Manufacturing,2021,157,True
Poland,Manufacturing,2020,2,True
Germany,Media and Entertainment,2022,42,True
Hungary,Media and Entertainment,2017,0,True
Hungary,Media and Entertainment,2020,2,True
Malaysia,Media and Entertainment,2020,0,True
Australia,Media and Entertainment,2019,35,True
India,Media and Entertainment,2016,1,True
Ireland,Media and Entertainment,2017,3,True
Israel,"Military, public safety and government",2023,18,True
Netherlands,"Military, public safety and government",2024,2,True
Bangladesh,"Mobile, platforms & Internet services",2024,0,True
Finland,"Mobile, platforms & Internet services",2016,1,True
Finland,"Mobile, platforms & Internet services",2025,2,True
Egypt,"Mobile, platforms & Internet services",2018,0,True
Spain,"Mobile, platforms & Internet services",2018,25,True
France,"Mobile, platforms & Internet services",2017,69,True
France,"Mobile, platforms & Internet services",2021,37,True
United Kingdom,NLP,2024,7,True
Denmark,NLP,2016,2,True
Sweden,NLP,2024,0,True
Singapore,NLP,2021,2,True
Egypt,NLP,2025,0,True
Poland,Navigation and mapping,2021,1,True
United States,Navigation and mapping,2019,75,True
New Zealand,Navigation and mapping,2017,0,True
United Arab Emirates,Navigation and mapping,2019,0,True
Brazil,Other,2022,105,True
Czechia,Other,2016,1,True
Finland,Other,2021,0,True
Nigeria,Other,2022,0,True
Estonia,Other,2017,1,True
Germany,Other,2022,105,True
United States,Other,2023,1860,True
Israel,Other,2026,2,False
El Salvador,Other,2025,1,True
South Korea,Privacy and Security,2024,5,True
Singapore,Privacy and Security,2017,9,True
Denmark,Privacy and Security,2022,1,True
Austria,Privacy and Security,2021,0,True
Belgium,Professional services,2022,1,True
Slovakia,Professional services,2021,1,True
Norway,Professional services,2018,8,True
Saudi Arabia,Professional services,2025,4,True
India,Professional services,2021,25,True
Poland,Professional services,2025,0,True
Israel,Professional services,2017,8,True
Israel,Professional services,2024,141,True
Argentina,Professional services,2025,1,True
Spain,Professional services,2023,6,True
Czechia,Professional services,2020,2,True
Ukraine,Professional services,2024,0,True
Ukraine,Professional services,2025,0,True
Vietnam,Professional services,2018,0,True
Chile,Professional services,2024,2,True
South Korea,Professional services,2021,9,True
Japan,Real estate,2023,1,True
United Arab Emirates,Real estate,2022,3,True
Germany,Real estate,2018,4,True
Italy,Real estate,2021,1,True
Italy,Real estate,2023,0,True
Hungary,Real estate,2024,1,True
Canada,Real estate,2023,45,True
Hungary,Robotics,2018,4,True
France,Robotics,2017,7,True
Denmark,Robotics,2021,0,True
Turkey,Robotics,2020,0,True
Belgium,Robotics,2021,0,True
New Zealand,"Sales, retail, commerce, marketing",2021,3,True
Finland,"Sales, retail, commerce, marketing",2018,1,True
